Bracket (LowerBound under UpperBound),,-6,-8,-11,-14,-18,-19,-20
LowerBound,UpperBound,NumReturns,GrossIncome,TaxableIncome,IncomeTax,PercentOfTaxableIncomePaid,PercentOfGrossIncomePaid,AverageTotalIncomeTax
0,0,4522,-5094991,0,78488,0.00,0.00,17377
1,4999,835921,2494290,610224,72959,11.96,2.90,87.27977883
5000,9999,4116242,31995563,7956944,780450,9.81,2.40,189.602555
10000,14999,6042925,75393048,28261843,2750658,9.73,3.60,455.1865198
15000,19999,6304104,110625567,50371975,5404734,10.73,4.90,857.3357927
20000,24999,6095228,137029808,72410263,8274086,11.40,6.00,1357
25000,29999,6092090,167694124,97429358,11036040,11.30,6.60,1812
30000,39999,11856081,413146253,254354428,29737818,11.70,7.20,2508
40000,49999,9668366,432975517,276796514,34634209,12.50,8.00,3582
50000,74999,17024921,1045511568,702291485,94256193,13.40,9.00,5536
75000,99999,9486123,816206695,575890228,84253116,14.60,10.30,8882
100000,199999,8861764,1167988946,875512626,163342405,18.70,14.00,18432
200000,499999,1996787,575673389,482717655,120710917,25.00,21.00,60453
500000,999999,355750,240943755,212761707,60180621,28.30,25.00,169166
1000000,1499999,81588,98744564,88335720,25550669,28.90,25.90,313177
1500000,1999999,33984,58440100,52488902,15315946,29.20,26.20,450683
2000000,4999999,48235,142091816,128190317,36900818,28.80,26.00,765117
5000000,9999999,11160,76253821,68499870,19313626,28.20,25.30,1730613
10000000,999999999,6114,158454920,140179919,35416375,25.30,22.40,5792690
