Bracket (LowerBound under UpperBound),,-6,-8,-11,-14,-18,-19,-20
LowerBound,UpperBound,NumReturns,GrossIncome,TaxableIncome,IncomeTax,PercentOfTaxableIncomePaid,PercentOfGrossIncomePaid,AverageTotalIncomeTax
0,0,4556,-6536163,0,86064,0.00,0.00,18890.25
1,4999,753517,2042475,634863,55075,8.68,2.70,73.09
5000,9999,3883897,29879127,7519618,713105,9.48,2.39,183.61
10000,14999,5672790,70632130,25956920,2491501,9.60,3.53,439.2
15000,19999,6143869,107820414,49150506,5218298,10.62,4.84,849.35
20000,24999,5932734,133257468,70186016,7894860,11.25,5.92,1330.73
25000,29999,5850586,160970887,93847694,10675322,11.38,6.63,1824.66
30000,39999,11283839,392430395,243141006,28213041,11.60,7.19,2500.31
40000,49999,9467339,424493453,274229656,33915521,12.37,7.99,3582.37
50000,74999,17350625,1068699069,716600109,92955349,12.97,8.70,5357.46
75000,99999,10021150,864079043,608245670,85557202,14.07,9.90,8537.66
100000,199999,9718430,1286114931,962402713,175205533,18.21,13.62,18028.17
200000,499999,2345868,676146760,565494806,139227163,24.62,20.59,59349.96
500000,999999,432783,293123022,260061711,71339293,27.43,24.34,164838.51
1000000,1499999,103887,125461491,112671268,31072424,27.58,24.77,299098.29
1500000,1999999,45065,77688451,69935884,19435618,27.79,25.02,431279.82
2000000,4999999,65501,194336617,176056872,47962099,27.24,24.68,732234.7
5000000,9999999,15827,108135631,97901784,25756207,26.31,23.82,1627362.86
10000000,999999999,9672,256725173,227893131,54202160,23.78,21.11,5604070.31
