Bracket (LowerBound under UpperBound),,-6,-8,-11,-14,-18,-19,-20
LowerBound,UpperBound,NumReturns,GrossIncome,TaxableIncome,IncomeTax,PercentOfTaxableIncomePaid,PercentOfGrossIncomePaid,AverageTotalIncomeTax
0,0,6301,-5987541,0,181211,0.00,0.00,28759
1,4999,856788,2257448,959903,88684,9.20,3.90,104
5000,9999,3368135,25495646,6593825,654390,9.90,2.60,194
10000,14999,5775872,72134324,24791811,2373130,9.60,3.30,411
15000,19999,5720555,100369887,46091776,4759278,10.30,4.70,832
20000,24999,5853087,131704447,67420436,7501691,11.10,5.70,1282
25000,29999,5777215,159017821,91166552,10396566,11.40,6.50,1800
30000,39999,11156228,389433125,237763671,27293090,11.50,7.00,2446
40000,49999,9329664,418586587,267238142,32509507,12.20,7.80,3485
50000,74999,17817863,1097416753,726336744,94443384,13.00,8.60,5300
75000,99999,10981207,947433910,656902758,90019371,13.70,9.50,8198
100000,199999,12041382,1600506040,1180048005,209381101,17.70,13.10,17388
200000,499999,3115244,893337094,731077382,177041085,24.20,19.80,56831
500000,999999,588046,398745041,347608241,94213951,27.10,23.60,160215
1000000,1499999,150100,181642049,161343642,44125182,27.30,24.30,293972
1500000,1999999,63863,109965064,98009348,26720695,27.30,24.30,418416
2000000,4999999,98525,294545355,264780730,71645509,27.10,24.30,727197
5000000,9999999,24924,171031711,153633684,39556521,25.70,23.10,1587086
10000000,999999999,15929,451838401,398700477,91012054,22.80,20.10,5713702
