Bracket (LowerBound under UpperBound),,-6,-8,-11,-14,-18,-19,-20
LowerBound,UpperBound,NumReturns,GrossIncome,TaxableIncome,IncomeTax,PercentOfTaxableIncomePaid,PercentOfGrossIncomePaid,AverageTotalIncomeTax
0,0,3495,-3102299,0,69278,0.00,0.00,19822
1,4999,502422,1519825,686306,76716,11.20,5.00,153
5000,9999,2611769,19825286,5092789,521105,10.20,2.60,200
10000,14999,4235223,53352646,17264231,1559617,9.00,2.90,368
15000,19999,5294453,92896530,41733014,3518545,8.40,3.80,665
20000,24999,5430781,122212038,60870152,6331242,10.40,5.20,1166
25000,29999,5326630,146414437,82204091,9108355,11.10,6.20,1710
30000,39999,10755171,375834514,227787612,25551828,11.20,6.80,2376
40000,49999,9308560,417822067,264942911,31401659,11.90,7.50,3373
50000,74999,17662044,1089446608,716909668,92652392,12.90,8.50,5246
75000,99999,11434868,988767974,679759369,91901542,13.50,9.30,8037
100000,199999,13741286,1831327323,1336605253,232270420,17.40,12.70,16903
200000,499999,3459900,988578765,788028471,193699168,24.60,19.60,55984
500000,999999,574263,390235760,331434695,93899298,28.30,24.10,163513
1000000,1499999,139843,168896361,146295398,41880236,28.60,24.80,299480
1500000,1999999,59052,101701184,88673463,25385118,28.60,25.00,429877
2000000,4999999,85735,255733598,224589748,63390377,28.20,24.80,739377
5000000,9999999,21236,145302002,128576176,34805598,27.10,24.00,1638990
10000000,999999999,13374,396696975,346121028,83558216,24.10,21.10,6247810
