Bracket (LowerBound to UpperBound),,-6,-8,-11,-14,-18,-19,-20
LowerBound,UpperBound,NumReturns,GrossIncome,TaxableIncome,IncomeTax,PercentOfTaxableIncomePaid,PercentOfGrossIncomePaid,AverageTotalIncomeTax
0,0,6231,-10474747,0,176629,[1],[1],28478
1,4999,259679,810746,378113,37423,9.90,4.60,144
5000,9999,1826829,14157630,3514192,363828,10.40,2.60,199
10000,14999,4682558,59495352,16090737,1513971,9.40,2.50,323
15000,19999,5296828,92566484,38134800,3703936,9.70,4.00,699
20000,24999,5456047,122786791,58340298,6259605,10.70,5.10,1147
25000,29999,5155731,141790956,75779897,8650789,11.40,6.10,1678
30000,39999,10249791,358574531,212364963,24184517,11.40,6.70,2360
40000,49999,9408699,422009648,266978576,31194931,11.70,7.40,3316
50000,74999,18003354,1111909458,742932887,95577285,12.90,8.60,5309
75000,99999,12322770,1067897141,752794444,102655118,13.60,9.60,8331
100000,199999,16318248,2196047037,1655746673,278477723,16.80,12.70,17067
200000,499999,4477599,1274632998,1045437126,248506252,24.00,19.70,55978
500000,999999,722903,485798728,426019294,123238260,29.50,25.90,174001
1000000,1499999,155955,187696020,165115643,51822627,32.20,28.30,340540
1500000,1999999,64103,110195234,97483398,31298313,33.00,29.20,501907
2000000,4999999,90961,269685447,237659944,77204789,33.50,29.50,875427
5000000,9999999,21378,145482169,128194863,41134187,33.30,29.30,1996802
10000000,999999999,12828,374946377,317331217,92549654,30.90,26.20,7653970
