Bracket (LowerBound to UpperBound),,-6,-8,-11,-14,-18,-19,-20
LowerBound,UpperBound,NumReturns,GrossIncome,TaxableIncome,IncomeTax,PercentOfTaxableIncomePaid,PercentOfGrossIncomePaid,AverageTotalIncomeTax
0,0,6163,-9803562,0,129892,0.00,0.00,21133
1,4999,166102,531984,285143,28462,10.00,5.40,171
5000,9999,1815136,14369554,3356545,349076,10.40,2.40,192
10000,14999,4325674,55402664,14996794,1395130,9.30,2.50,323
15000,19999,5185990,90514179,36335670,3479493,9.60,3.80,671
20000,24999,5413618,121808132,57893109,6122944,10.60,5.00,1131
25000,29999,5458327,150014112,79353020,8984773,11.30,6.00,1646
30000,39999,10801316,377978262,224421371,25681811,11.40,6.80,2378
40000,49999,9708727,435534037,277116716,32485769,11.70,7.50,3346
50000,74999,18855231,1161151533,779945368,101543381,13.00,8.70,5385
75000,99999,12716508,1103588143,781627028,108311522,13.90,9.80,8517
100000,199999,18711112,2533880324,1916445591,321541776,16.80,12.70,17186
200000,499999,5572249,1585683739,1302945335,305763804,23.70,19.40,55319
500000,999999,892291,598883785,526748920,151737289,29.40,25.80,173327
1000000,1499999,192678,232354664,205282602,63698770,31.70,28.00,338235
1500000,1999999,77706,133498257,118346313,37624170,32.60,28.90,497139
2000000,4999999,110982,329572634,290961580,93170299,33.00,29.10,864604
5000000,9999999,26606,181546749,159747669,50143630,32.50,28.60,1952574
10000000,999999999,16076,481606208,404732884,114403320,30.00,25.20,7548877
