Bracket (LowerBound to UpperBound),,-6,-8,-11,-14,-18,-19,-20
LowerBound,UpperBound,NumReturns,GrossIncome,TaxableIncome,IncomeTax,PercentOfTaxableIncomePaid,PercentOfGrossIncomePaid,AverageTotalIncomeTax
0,0,6708,-11136535,0,174375,0.00,0.00,25995
1,4999,260338,763822,325120,32869,10.10,4.30,126
5000,9999,2033853,15817269,3776575,398043,10.50,2.50,196
10000,14999,5025180,63776661,17890141,1684658,9.40,2.60,335
15000,19999,5299487,92839227,39059779,3819964,9.80,4.10,721
20000,24999,5388034,121136795,57636265,6267171,10.90,5.20,1163
25000,29999,5179401,142362332,76391032,8700052,11.40,6.10,1680
30000,39999,10288411,359521204,213268824,24316689,11.40,6.80,2364
40000,49999,9160454,410968092,259352892,30422297,11.70,7.40,3321
50000,74999,17797395,1098537250,730136279,94110714,12.90,8.60,5288
75000,99999,11885774,1027935597,720022763,97980576,13.60,9.50,8244
100000,199999,15552998,2088085684,1563973103,265391097,17.00,12.70,17064
200000,499999,4138375,1182249406,957340281,231596029,24.20,19.60,55963
500000,999999,702156,475541819,406331526,114171955,28.10,24.00,162602
1000000,1499999,168669,203910807,177760446,50204874,28.20,24.60,297653
1500000,1999999,71531,123084093,107436825,30315072,28.20,24.60,423803
2000000,4999999,106285,316591258,278347680,77042208,27.70,24.30,724864
5000000,9999999,27057,185065879,163808532,43261092,26.40,23.40,1598887
10000000,999999999,17615,545157359,473455947,108137460,22.80,19.80,6138942
