Bracket (LowerBound to UpperBound),,-6,-8,-11,-14,-18,-19,-20
LowerBound,UpperBound,NumReturns,GrossIncome,TaxableIncome,IncomeTax,PercentOfTaxableIncomePaid,PercentOfGrossIncomePaid,AverageTotalIncomeTax
0,0,6460,-13023905,0,174955,0.00,0.00,27132
1,4999,241236,764260,391560,38163,9.70,5.00,158
5000,9999,1845010,14416699,3496485,355490,10.20,2.50,193
10000,14999,4436438,56784803,15104777,1399526,9.30,2.50,315
15000,19999,5148628,90038798,36854202,3619158,9.80,4.00,703
20000,24999,5363260,120837472,57743708,6183917,10.70,5.10,1153
25000,29999,5337737,146525212,78238111,8853958,11.30,6.00,1659
30000,39999,10305333,360117505,214586388,24559781,11.40,6.80,2383
40000,49999,9568328,429685126,273412005,31863661,11.70,7.40,3330
50000,74999,18112069,1116294943,746282701,95807926,12.80,8.60,5290
75000,99999,12586658,1091372534,772570399,105597731,13.70,9.70,8390
100000,199999,17380014,2346751490,1775890732,297090817,16.70,12.70,17095
200000,499999,4969144,1417266271,1168977449,273784889,23.70,19.50,55641
500000,999999,833910,561900022,497311777,141758600,29.20,25.80,173901
1000000,1499999,180246,217178424,193760633,59746755,31.70,28.30,340499
1500000,1999999,76959,132283781,118416459,37143060,32.40,29.00,498242
2000000,4999999,109370,326204910,292257099,92857091,32.90,29.50,878995
5000000,9999999,26559,181807938,162426496,50823478,32.60,29.10,1993179
10000000,999999999,16721,505433934,438651059,123645689,30.10,26.10,7890434
