Bracket (LowerBound under UpperBound),,-6,-8,-11,-14,-18,-19,-20
LowerBound,UpperBound,NumReturns,GrossIncome,TaxableIncome,IncomeTax,PercentOfTaxableIncomePaid,PercentOfGrossIncomePaid,AverageTotalIncomeTax
0,0,3445,-11664646,0,198231,0.00,0.00,57698.11
1,4999,187314,585986,271522,31956,11.77,5.45,170.6
5000,9999,1922850,15199933,3573583,368064,10.30,2.42,191.42
10000,14999,4267204,54861339,14937150,1391657,9.32,2.54,326.13
15000,19999,5223592,91386716,36578638,3505521,9.58,3.84,671.09
20000,24999,5499627,123950706,59374079,6314256,10.63,5.09,1148.12
25000,29999,5519831,151771531,80410993,9105303,11.32,6.00,1649.56
30000,39999,10904828,381750852,227618768,26166552,11.50,6.85,2399.54
40000,49999,9954688,446595557,285750881,33590286,11.76,7.52,3374.33
50000,74999,19556080,1204324559,811534087,105654965,13.02,8.77,5402.56
75000,99999,13214138,1145274978,812103261,112966329,13.91,9.86,8548.9
100000,199999,19786590,2686884141,2032168271,340958752,16.78,12.69,17233.53
200000,499999,6203409,1767776027,1449911100,336733818,23.45,19.23,54802.59
500000,999999,1009082,679185290,595494762,169190566,29.05,25.47,171420.62
1000000,1499999,222370,268450210,236891551,72348263,31.35,27.67,333994.7
1500000,1999999,90443,155667802,137549143,42912660,32.11,28.37,488355.51
2000000,4999999,129741,385644202,340679096,107262711,32.50,28.71,853470.98
5000000,9999999,31602,215996587,190638120,59176668,32.14,28.37,1938948.42
10000000,999999999,20209,631499911,541911101,153637455,29.82,25.59,7997098.72
