Bracket (LowerBound under UpperBound),,-6,-8,-11,-14,-18,-19,-20
LowerBound,UpperBound,NumReturns,GrossIncome,TaxableIncome,IncomeTax,PercentOfTaxableIncomePaid,PercentOfGrossIncomePaid,AverageTotalIncomeTax
0,0,4882,-6680199,0,133370,0.00,0.00,27318.72
1,4999,813194,2089538,831616,72794,8.75,3.48,89.52
5000,9999,3710338,28358318,7015578,673689,9.60,2.38,181.57
10000,14999,5752739,71728138,25313406,2418513,9.55,3.37,420.41
15000,19999,5988458,105047337,47482696,4967119,10.46,4.73,829.45
20000,24999,5886278,132098628,68097481,7663320,11.25,5.80,1301.9
25000,29999,5858233,161375547,93313615,10707197,11.47,6.63,1827.72
30000,39999,11106472,386912319,236966822,27284639,11.51,7.05,2456.64
40000,49999,9325210,418057613,267742679,32877218,12.28,7.86,3525.63
50000,74999,17491819,1077176944,715392720,92824047,12.98,8.62,5306.71
75000,99999,10329339,890290583,619386318,85986423,13.88,9.66,8324.49
100000,199999,10767383,1425107929,1053604785,189468358,17.98,13.30,17596.51
200000,499999,2732229,787268561,656545274,159395393,24.28,20.25,58338.96
500000,999999,523401,354470899,313129523,84700059,27.05,23.89,161826.32
1000000,1499999,127627,154441949,138196850,38052580,27.54,24.64,298154.62
1500000,1999999,56495,97304198,87728850,23941620,27.29,24.60,423782.99
2000000,4999999,83865,249968692,226189457,60871399,26.91,24.35,725828.86
5000000,9999999,21378,146474725,132744670,34528949,26.01,23.57,1615165.64
10000000,999999999,13741,375231378,334095685,78268656,23.43,20.86,5695998.76
