"Table 1.1  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income, Tax Year 2013",,,,,,,,,,,,,,,,,,,,
(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated),,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income",All returns,,,,,Taxable returns,,,,,,,,,,,,,,
"$40,000 under $50,000","11,279,394",7.7,"504,991,453",5.6,"44,771","9,408,699",10.0,"422,009,648",5.0,"9,408,672","266,978,576",4.3,"9,407,581","31,194,931",2.6,"31,195,016",2.5,11.7,7.4,"3,316"
"$50,000 under $75,000","19,229,309",13.0,"1,183,907,339",13.0,"61,568","18,003,354",19.0,"1,111,909,458",13.2,"18,002,504","742,932,887",11.9,"18,003,284","95,577,285",7.8,"95,577,441",7.7,12.9,8.6,"5,309"
"$75,000 under $100,000","12,574,107",8.5,"1,089,048,941",12.0,"86,610","12,322,770",13.0,"1,067,897,141",12.7,"12,319,661","752,794,444",12.1,"12,322,672","102,655,118",8.4,"102,655,287",8.3,13.6,9.6,"8,331"
"$100,000 under $200,000","16,425,446",11.1,"2,209,424,177",24.3,"134,512","16,318,248",17.3,"2,196,047,037",26.1,"16,313,892","1,655,746,673",26.5,"16,316,042","278,477,723",22.9,"278,503,806",22.6,16.8,12.7,"17,067"
"$200,000 under $500,000","4,488,110",3.0,"1,277,488,938",14.0,"284,639","4,477,599",4.7,"1,274,632,998",15.1,"4,472,298","1,045,437,126",16.8,"4,470,538","248,506,252",20.4,"250,646,209",20.3,24.0,19.7,"55,978"
"$500,000 under $1,000,000","724,251",0.5,"486,697,123",5.4,"672,001","722,903",0.8,"485,798,728",5.8,"721,735","426,019,294",6.8,"721,326","123,238,260",10.1,"125,785,974",10.2,29.5,25.9,"174,001"
"$1,000,000 under $1,500,000","156,269",0.1,"188,076,335",2.1,"1,203,542","155,955",0.2,"187,696,020",2.2,"155,515","165,115,643",2.6,"155,608","51,822,627",4.3,"53,108,843",4.3,32.2,28.3,"340,540"
"$1,500,000 under $2,000,000","64,236",[2],"110,426,328",1.2,"1,719,072","64,103",0.1,"110,195,234",1.3,"63,945","97,483,398",1.6,"63,937","31,298,313",2.6,"32,173,741",2.6,33.0,29.2,"501,907"
"$2,000,000 under $5,000,000","91,128",0.1,"270,182,734",3.0,"2,964,871","90,961",0.1,"269,685,447",3.2,"90,710","237,659,944",3.8,"90,764","77,204,789",6.3,"79,629,744",6.4,33.5,29.5,"875,427"
"$5,000,000 under $10,000,000","21,412",[2],"145,700,551",1.6,"6,804,621","21,378",0.0,"145,482,169",1.7,"21,319","128,194,863",2.1,"21,333","41,134,187",3.4,"42,687,638",3.5,33.3,29.3,"1,996,802"
"$10,000,000 or more","12,839",[2],"375,495,375",4.1,"29,246,466","12,828",0.0,"374,946,377",4.4,"12,785","317,331,217",5.1,"12,791","92,549,654",7.6,"98,185,129",7.9,30.9,26.2,"7,653,970"
Accumulated from smallest size of adjusted gross income,,,,,,,,,,,,,,,,,,,,
No adjusted gross income,"2,113,013",1.4,"-198,630,863",[1],"-94,004","6,231",[2],"-10,474,747",[1],0,0,[1],"6,214","176,629",[2],"177,444",[2],[1],[1],"28,470"
"$1 under $5,000","10,608,111",7.2,"27,566,440",0.3,"2,599","259,679",0.3,"810,746",[2],"258,507","378,113",[2],"259,678","37,423",[2],"37,423",[2],9.9,4.6,144
"$1 under $10,000","22,638,499",15.4,"119,126,246",1.3,"5,262","2,086,509",2.2,"14,968,376",0.2,"2,084,416","3,892,305",0.1,"2,086,506","401,251",[2],"401,251",[2],10.3,2.7,192
"$1 under $15,000","35,141,844",23.8,"275,339,587",3.0,"7,835","6,769,066",7.2,"74,463,728",0.9,"6,765,868","19,983,042",0.3,"6,768,070","1,915,222",0.2,"1,915,227",0.2,9.6,2.6,283
"$1 under $20,000","46,763,379",31.7,"478,020,050",5.3,"10,222","12,065,894",12.8,"167,030,212",2.0,"12,061,674","58,117,842",0.9,"12,064,897","5,619,158",0.5,"5,619,163",0.5,9.7,3.4,466
"$1 under $25,000","56,888,664",38.6,"705,270,035",7.8,"12,397","17,521,941",18.5,"289,817,003",3.4,"17,517,502","116,458,140",1.9,"17,520,943","11,878,763",1.0,"11,878,768",1.0,10.2,4.1,678
"$1 under $30,000","65,698,179",44.6,"947,190,817",10.4,"14,417","22,677,672",24.0,"431,607,959",5.1,"22,672,973","192,238,037",3.1,"22,676,673","20,529,551",1.7,"20,529,557",1.7,10.7,4.8,905
"$1 under $40,000","80,171,785",54.4,"1,450,820,273",16.0,"18,096","32,927,463",34.8,"790,182,490",9.4,"32,922,692","404,603,000",6.5,"32,926,460","44,714,069",3.7,"44,714,074",3.6,11.1,5.7,"1,358"
"$1 under $50,000","91,451,180",62.1,"1,955,811,726",21.5,"21,386","42,336,162",44.8,"1,212,192,138",14.4,"42,331,364","671,581,576",10.8,"42,334,040","75,908,999",6.2,"75,909,090",6.1,11.3,6.3,"1,793"
"$1 under $75,000","110,680,489",75.1,"3,139,719,065",34.5,"28,367","60,339,517",63.8,"2,324,101,595",27.6,"60,333,867","1,414,514,463",22.7,"60,337,324","171,486,284",14.1,"171,486,531",13.9,12.1,7.4,"2,842"
"$1 under $100,000","123,254,596",83.6,"4,228,768,006",46.5,"34,309","72,662,287",76.9,"3,391,998,737",40.3,"72,653,528","2,167,308,906",34.7,"72,659,996","274,141,401",22.5,"274,141,818",22.2,12.6,8.1,"3,773"
"$1 under $200,000","139,680,042",94.8,"6,438,192,182",70.8,"46,092","88,980,535",94.1,"5,588,045,773",66.3,"88,967,420","3,823,055,579",61.3,"88,976,037","552,619,124",45.4,"552,645,624",44.7,14.5,9.9,"6,211"
"$1 under $500,000","144,168,152",97.8,"7,715,681,120",84.8,"53,519","93,458,134",98.9,"6,862,678,771",81.4,"93,439,719","4,868,492,705",78.0,"93,446,575","801,125,376",65.7,"803,291,833",65.0,16.5,11.7,"8,596"
"$1 under $1,000,000","144,892,403",98.3,"8,202,378,243",90.2,"56,610","94,181,037",99.6,"7,348,477,499",87.2,"94,161,453","5,294,511,999",84.8,"94,167,901","924,363,636",75.9,"929,077,807",75.2,17.5,12.6,"9,866"
"$1 under $1,500,000","145,048,672",98.4,"8,390,454,578",92.3,"57,846","94,336,993",99.8,"7,536,173,519",89.4,"94,316,968","5,459,627,642",87.5,"94,323,508","976,186,263",80.1,"982,186,650",79.5,18.0,13.0,"10,412"
"$1 under $2,000,000","145,112,908",98.5,"8,500,880,906",93.5,"58,581","94,401,096",99.9,"7,646,368,753",90.7,"94,380,912","5,557,111,040",89.1,"94,387,445","1,007,484,576",82.7,"1,014,360,391",82.1,18.3,13.3,"10,746"
"$1 under $5,000,000","145,204,036",98.5,"8,771,063,640",96.5,"60,405","94,492,056",100.0,"7,916,054,200",93.9,"94,471,622","5,794,770,984",92.9,"94,478,208","1,084,689,364",89.0,"1,093,990,135",88.6,18.9,13.8,"11,579"
"$1 under $10,000,000","145,225,448",98.6,"8,916,764,190",98.1,"61,399","94,513,435",100.0,"8,061,536,368",95.7,"94,492,941","5,922,965,847",94.9,"94,499,541","1,125,823,551",92.4,"1,136,677,773",92.0,19.2,14.1,"12,028"
$1 or more,"145,238,287",98.6,"9,292,259,566",102.2,"63,979","94,526,263",100.0,"8,436,482,745",100.1,"94,505,726","6,240,297,064",100.0,"94,512,332","1,218,373,205",100.0,"1,234,862,902",100.0,19.8,14.6,"13,065"
All returns,"147,351,299",100.0,"9,093,628,703",100.0,"61,714","94,532,494",100.0,"8,426,007,999",100.0,"94,505,726","6,240,297,064",100.0,"94,518,546","1,218,549,835",100.0,"1,235,040,347",100.0,19.8,14.7,"13,066"
Accumulated from largest size of adjusted gross income,,,,,,,,,,,,,,,,,,,,
"$10,000,000 or more","12,839",[2],"375,495,375",4.1,"29,246,466","12,828",[2],"374,946,377",4.4,"12,785","317,331,217",5.1,"12,791","92,549,654",7.6,"98,185,129",7.9,30.9,26.2,"7,653,970"
"$5,000,000 or more","34,251",[2],"521,195,926",5.7,"15,216,955","34,206",[2],"520,428,546",6.2,"34,104","445,526,080",7.1,"34,124","133,683,841",11.0,"140,872,767",11.4,31.6,27.1,"4,118,364"
"$2,000,000 or more","125,379",0.1,"791,378,660",8.7,"6,311,892","125,167",0.1,"790,113,993",9.4,"124,814","683,186,024",10.9,"124,888","210,888,629",17.3,"220,502,511",17.9,32.3,27.9,"1,761,667"
"$1,500,000 or more","189,615",0.1,"901,804,988",9.9,"4,755,979","189,270",0.2,"900,309,227",10.7,"188,758","780,669,422",12.5,"188,824","242,186,942",19.9,"252,676,252",20.5,32.4,28.1,"1,335,004"
"$1,000,000 or more","345,883",0.2,"1,089,881,323",12.0,"3,151,012","345,225",0.4,"1,088,005,246",12.9,"344,273","945,785,064",15.2,"344,432","294,009,569",24.1,"305,785,095",24.8,32.3,28.1,"885,756"
"$500,000 or more","1,070,134",0.7,"1,576,578,446",17.3,"1,473,253","1,068,128",1.1,"1,573,803,974",18.7,"1,066,007","1,371,804,359",22.0,"1,065,758","417,247,829",34.2,"431,571,069",34.9,31.5,27.4,"404,044"
"$200,000 or more","5,558,245",3.8,"2,854,067,383",31.4,"513,484","5,545,728",5.9,"2,848,436,972",33.8,"5,538,306","2,417,241,485",38.7,"5,536,295","665,754,081",54.6,"682,217,278",55.2,28.2,24.0,"123,017"
"$100,000 or more","21,983,691",14.9,"5,063,491,560",55.7,"230,329","21,863,976",23.1,"5,044,484,009",59.9,"21,852,198","4,072,988,158",65.3,"21,852,337","944,231,804",77.5,"960,721,084",77.8,23.6,19.0,"43,941"
"$75,000 or more","34,557,798",23.5,"6,152,540,501",67.7,"178,036","34,186,746",36.2,"6,112,381,150",72.5,"34,171,858","4,825,782,601",77.3,"34,175,009","1,046,886,922",85.9,"1,063,376,371",86.1,22.0,17.4,"31,105"
"$50,000 or more","53,787,107",36.5,"7,336,447,840",80.7,"136,398","52,190,100",55.2,"7,224,290,608",85.7,"52,174,362","5,568,715,488",89.2,"52,178,292","1,142,464,206",93.8,"1,158,953,812",93.8,20.8,16.0,"22,206"
"$40,000 or more","65,066,501",44.2,"7,841,439,293",86.2,"120,514","61,598,800",65.2,"7,646,300,256",90.7,"61,583,033","5,835,694,064",93.5,"61,585,873","1,173,659,137",96.3,"1,190,148,828",96.4,20.4,15.6,"19,321"
"$30,000 or more","79,540,108",54.0,"8,345,068,748",91.8,"104,916","71,848,591",76.0,"8,004,874,786",95.0,"71,832,753","6,048,059,027",96.9,"71,835,660","1,197,843,654",98.3,"1,214,333,346",98.3,20.1,15.2,"16,901"
"$25,000 or more","88,349,622",60.0,"8,586,989,531",94.4,"97,193","77,004,322",81.5,"8,146,665,742",96.7,"76,988,224","6,123,838,924",98.1,"76,991,390","1,206,494,443",99.0,"1,222,984,134",99.0,20.0,15.0,"15,882"
"$20,000 or more","98,474,908",66.8,"8,814,239,515",96.9,"89,507","82,460,369",87.2,"8,269,452,533",98.1,"82,444,052","6,182,179,222",99.1,"82,447,436","1,212,754,047",99.5,"1,229,243,739",99.5,19.9,14.9,"14,907"
"$15,000 or more","110,096,442",74.7,"9,016,919,979",99.2,"81,900","87,757,197",92.8,"8,362,019,017",99.2,"87,739,858","6,220,314,022",99.7,"87,744,262","1,216,457,983",99.8,"1,232,947,675",99.8,19.8,14.7,"14,050"
"$10,000 or more","122,599,788",83.2,"9,173,133,320",100.9,"74,822","92,439,754",97.8,"8,421,514,369",99.9,"92,421,310","6,236,404,759",99.9,"92,425,826","1,217,971,954",100.0,"1,234,461,651",100.0,19.8,14.7,"13,354"
"$5,000 or more","134,630,175",91.4,"9,264,693,126",101.9,"68,816","94,266,583",99.7,"8,435,671,999",100.1,"94,247,219","6,239,918,951",100.0,"94,252,654","1,218,335,782",100.0,"1,234,825,479",100.0,19.8,14.6,"13,099"
$1 or more,"145,238,287",98.6,"9,292,259,566",102.2,"63,979","94,526,263",100.0,"8,436,482,745",100.1,"94,505,726","6,240,297,064",100.0,"94,512,332","1,218,373,205",100.0,"1,234,862,902",100.0,19.8,14.6,"13,064"
All returns,"147,351,299",100.0,"9,093,628,703",100.0,"61,714","94,532,494",100.0,"8,426,007,999",100.0,"94,505,726","6,240,297,064",100.0,"94,518,546","1,218,549,835",100.0,"1,235,040,347",100.0,19.8,14.7,"13,065"
   [1] Percentage not computed.,,,,,,,,,,,,,,,,,,,,
   [2] Less than 0.05 percent.,,,,,,,,,,,,,,,,,,,,
    NOTE: Detail may not add to totals because of rounding.,,,,,,,,,,,,,,,,,,,,
"    Source: IRS, Statistics of Income Division, Publication 1304, July 2015",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
