"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income, Tax Year 2018 (Filing Year 2019)",,,,,,,,,,,,,,,,,,,,
(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated),,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income",All returns,,,,,Taxable returns,,,,,,,,,,,,,,
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,Taxable income,,,Income tax after credits,,,Total income tax,,,,
,,,,,,,,,,"Number of
returns",Amount,"Percent of
total","Number of
returns",Amount,"Percent of
total",Amount,Percent of,,,"Average
total income 
tax (dollars)"
,,,Amount,"Percent
of total","Average
(dollars)",,,Amount,"Percent
of total",,,,,,,,Total,"Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
"$1 under $15,000","30,656,033",19.9,"242,204,725",2.1,"7,901","2,873,562",2.9,"36,618,085",0.3,"2,870,977","5,166,887",0.1,"2,876,690","590,235",[2],"452,183",[2],8.8,1.2,157
"$1 under $20,000","40,843,182",26.6,"420,111,037",3.6,"10,286","7,851,904",7.8,"123,525,113",1.1,"7,849,240","31,007,646",0.4,"7,855,029","3,036,793",0.2,"2,898,743",0.2,9.3,2.3,369
"$1 under $25,000","50,453,810",32.8,"636,350,947",5.5,"12,613","12,983,538",12.9,"239,142,573",2.2,"12,980,873","82,181,130",1.0,"12,986,663","8,137,745",0.5,"7,999,696",0.5,9.7,3.3,616
"$1 under $30,000","59,438,222",38.7,"882,852,902",7.6,"14,853","18,349,521",18.3,"386,561,678",3.6,"18,346,850","154,853,744",1.8,"18,352,646","15,484,361",1.0,"15,346,312",1.0,9.9,4.0,836
"$1 under $40,000","74,948,802",48.7,"1,423,379,038",12.2,"18,991","28,934,750",28.8,"757,144,986",7.0,"28,932,012","369,262,413",4.3,"28,936,878","37,256,485",2.5,"37,118,810",2.4,10.1,4.9,"1,283"
"$1 under $50,000","86,966,114",56.6,"1,961,738,695",16.8,"22,558","38,628,616",38.5,"1,192,341,179",11.0,"38,625,845","649,973,481",7.5,"38,630,744","64,969,054",4.3,"64,831,379",4.2,10.0,5.4,"1,678"
"$1 under $75,000","108,426,790",70.5,"3,283,443,308",28.2,"30,283","57,750,874",57.5,"2,374,485,018",21.9,"57,748,095","1,477,946,206",17.1,"57,752,396","154,622,929",10.2,"154,485,480",10.0,10.5,6.5,"2,675"
"$1 under $100,000","122,112,199",79.4,"4,469,054,975",38.4,"36,598","70,900,507",70.6,"3,514,658,794",32.4,"70,897,701","2,329,990,985",27.0,"70,902,029","251,794,011",16.7,"251,657,587",16.4,10.8,7.2,"3,549"
"$1 under $200,000","143,258,736",93.2,"7,347,257,844",63.1,"51,287","91,882,545",91.5,"6,372,069,596",58.7,"91,878,505","4,643,559,432",53.7,"91,878,932","572,301,493",37.9,"572,194,207",37.2,12.3,9.0,"6,227"
"$1 under $500,000","150,164,406",97.7,"9,318,563,488",80.0,"62,056","98,775,161",98.4,"8,339,810,655",76.9,"98,769,221","6,363,826,732",73.6,"98,761,219","896,297,173",59.4,"899,999,886",58.5,14.1,10.8,"9,112"
"$1 under $1,000,000","151,272,836",98.4,"10,065,341,793",86.4,"66,538","99,882,456",99.5,"9,085,826,719",83.7,"99,876,065","7,042,344,129",81.5,"99,865,663","1,065,071,946",70.5,"1,073,214,761",69.7,15.2,11.8,"10,745"
"$1 under $1,500,000","151,514,549",98.5,"10,356,745,876",88.9,"68,355","100,123,934",99.7,"9,376,948,882",86.4,"100,117,471","7,307,079,291",84.6,"100,106,731","1,138,422,776",75.4,"1,148,836,096",74.7,15.7,12.3,"11,474"
"$1 under $2,000,000","151,613,132",98.6,"10,526,445,667",90.4,"69,430","100,222,406",99.8,"9,546,457,053",88.0,"100,215,917","7,461,340,420",86.3,"100,204,979","1,182,673,156",78.3,"1,194,552,026",77.6,16.0,12.5,"11,919"
"$1 under $5,000,000","151,755,143",98.7,"10,948,101,900",94.0,"72,143","100,364,268",99.9,"9,967,671,546",91.9,"100,357,704","7,843,479,125",90.8,"100,346,468","1,294,333,562",85.7,"1,310,362,449",85.2,16.7,13.1,"13,056"
"$1 under $10,000,000","151,789,931",98.7,"11,186,410,205",96.1,"73,697","100,399,013",100.0,"10,205,694,282",94.1,"100,392,431","8,059,210,597",93.3,"100,381,114","1,356,727,070",89.9,"1,375,411,895",89.4,17.1,13.5,"13,699"
$1 or more,"151,812,043",98.7,"11,845,415,826",101.7,"78,027","100,421,107",100.0,"10,863,967,659",100.1,"100,414,509","8,641,495,369",100.0,"100,403,124","1,509,751,196",100.0,"1,538,610,817",100.0,17.8,14.2,"15,322"
All returns,"153,774,296",100.0,"11,643,439,106",100.0,"75,718","100,424,240",100.0,"10,850,040,361",100.0,"100,414,509","8,641,495,369",100.0,"100,403,120","1,509,751,197",100.0,"1,538,749,447",100.0,17.8,14.2,"15,322"
Accumulated from largest size of adjusted gross income,,,,,,,,,,,,,,,,,,,,
"$10,000,000 or more","22,112",[2],"659,005,622",5.7,"29,803,076","22,094",[2],"658,273,377",6.1,"22,078","582,284,773",6.7,"22,010","153,024,126",10.1,"163,198,922",10.6,28.0,24.8,"7,386,572"
"$5,000,000 or more","56,900",[2],"897,313,927",7.7,"15,770,016","56,839",0.1,"896,296,113",8.3,"56,805","798,016,245",9.2,"56,656","215,417,634",14.3,"228,248,368",14.8,28.6,25.5,"4,015,700"
"$2,000,000 or more","198,911",0.1,"1,318,970,160",11.3,"6,630,956","198,701",0.2,"1,317,510,606",12.1,"198,592","1,180,154,949",13.7,"198,145","327,078,040",21.7,"344,058,791",22.4,29.2,26.1,"1,731,540"
"$1,500,000 or more","297,494",0.2,"1,488,669,950",12.8,"5,004,034","297,173",0.3,"1,487,018,777",13.7,"297,038","1,334,416,078",15.4,"296,393","371,328,420",24.6,"389,774,722",25.3,29.2,26.2,"1,311,609"
"$1,000,000 or more","539,207",0.4,"1,780,074,034",15.3,"3,301,281","538,651",0.5,"1,778,140,940",16.4,"538,444","1,599,151,240",18.5,"537,461","444,679,250",29.5,"465,396,056",30.2,29.1,26.2,"864,003"
"$500,000 or more","1,647,637",1.1,"2,526,852,338",21.7,"1,533,622","1,645,946",1.6,"2,524,157,004",23.3,"1,645,288","2,277,668,637",26.4,"1,641,905","613,454,023",40.6,"638,610,931",41.5,28.0,25.3,"387,990"
"$200,000 or more","8,553,307",5.6,"4,498,157,982",38.6,"525,897","8,538,562",8.5,"4,491,898,063",41.4,"8,536,004","3,997,935,938",46.3,"8,524,192","937,449,703",62.1,"966,416,611",62.8,24.2,21.5,"113,183"
"$100,000 or more","29,699,844",19.3,"7,376,360,851",63.4,"248,364","29,520,590",29.4,"7,349,308,865",67.7,"29,516,809","6,311,504,384",73.0,"29,501,095","1,257,957,185",83.3,"1,286,953,230",83.6,20.4,17.5,"43,595"
"$75,000 or more","43,385,253",28.2,"8,561,972,518",73.5,"197,348","42,670,233",42.5,"8,489,482,641",78.2,"42,666,414","7,163,549,163",82.9,"42,650,728","1,355,128,267",89.8,"1,384,125,337",90.0,19.3,16.3,"32,438"
"$50,000 or more","64,845,929",42.2,"9,883,677,132",84.9,"152,418","61,792,491",61.5,"9,671,626,480",89.1,"61,788,664","7,991,521,889",92.5,"61,772,370","1,444,782,142",95.7,"1,473,779,439",95.8,18.4,15.2,"23,850"
"$40,000 or more","76,863,241",50.0,"10,422,036,788",89.5,"135,592","71,486,357",71.2,"10,106,822,673",93.2,"71,482,497","8,272,232,956",95.7,"71,466,246","1,472,494,711",97.5,"1,501,492,008",97.6,18.2,14.9,"21,004"
"$30,000 or more","92,373,821",60.1,"10,962,562,924",94.2,"118,676","82,071,586",81.7,"10,477,405,981",96.6,"82,067,659","8,486,641,625",98.2,"82,050,478","1,494,266,835",99.0,"1,523,264,506",99.0,17.9,14.5,"18,560"
"$25,000 or more","101,358,233",65.9,"11,209,064,879",96.3,"110,589","87,437,569",87.1,"10,624,825,086",97.9,"87,433,636","8,559,314,239",99.0,"87,416,451","1,501,613,455",99.5,"1,530,611,122",99.5,17.9,14.4,"17,505"
"$20,000 or more","110,968,861",72.2,"11,425,304,789",98.1,"102,960","92,569,203",92.2,"10,740,442,546",99.0,"92,565,269","8,610,487,723",99.6,"92,548,095","1,506,714,403",99.8,"1,535,712,074",99.8,17.8,14.3,"16,590"
"$15,000 or more","121,156,000",78.8,"11,603,211,102",99.7,"95,771","97,547,545",97.1,"10,827,349,574",99.8,"97,543,532","8,636,328,482",99.9,"97,526,434","1,509,160,961",100.0,"1,538,158,634",100.0,17.8,14.2,"15,768"
"$10,000 or more","132,610,284",86.2,"11,746,265,147",100.9,"88,577","100,106,957",99.7,"10,862,213,344",100.1,"100,102,934","8,640,749,111",100.0,"100,085,846","1,509,552,689",100.0,"1,538,550,362",100.0,17.8,14.2,"15,369"
"$5,000 or more","142,624,393",92.7,"11,821,573,377",101.5,"82,886","100,284,931",99.9,"10,863,546,984",100.1,"100,279,897","8,641,309,411",100.0,"100,263,810","1,509,594,891",100.0,"1,538,592,564",100.0,17.8,14.2,"15,342"
$1 or more,"151,812,043",98.7,"11,845,415,826",101.7,"78,027","100,421,107",100.0,"10,863,967,659",100.1,"100,414,509","8,641,495,369",100.0,"100,403,124","1,509,751,196",100.0,"1,538,610,817",100.0,17.8,14.2,"15,322"
All returns,"153,774,296",100.0,"11,643,439,106",100.0,"75,718","100,424,240",100.0,"10,850,040,361",100.0,"100,414,509","8,641,495,369",100.0,"100,403,120","1,509,751,197",100.0,"1,538,749,447",100.0,17.8,14.2,"15,322"
    Data combined to avoid disclosure of information for specific taxpayers.,,,,,,,,,,,,,,,,,,,,
   [1] Percentage not computed.,,,,,,,,,,,,,,,,,,,,
   [2] Less than 0.05 percent.,,,,,,,,,,,,,,,,,,,,
    NOTE: Detail may not add to totals because of rounding.,,,,,,,,,,,,,,,,,,,,
"    SOURCE: IRS, Statistics of Income Division, Publication 1304, September 2020",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
