"Table 1.1--2003, Individual Income Tax Returns, Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",,,,,,,,,, ,,,,,,,,,,
(All figures are estimates based on samples--money amounts are in thousands of dollars except as indicated),,,,,,,,,, ,,,,,,,,,,
,All returns,,,,,Taxable returns,,,, ,,,,,,,,,,
Size and accumulated size,,,Adjusted gross,,,,,Adjusted gross,,Taxable income,,,Income tax after credits,,,Total income tax,,,,
of adjusted gross income,Number,Percent,income less deficit,,,Number,Percent,income less deficit,,Number of,Amount,Percentage of,Number of,Amount,Percentage of,Amount,Percentage of,,,Average
,of returns,of total,Amount,Percent,Average,of returns,of total,Amount,Percent,returns,,total,returns,,total,,Total,Taxable,Adjusted gross,income tax
,,,,of total,(dollars),,,,of total,,,,,,,,,income,income less deficit,(dollars)
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
Size of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
Total*.,"130,423,626    ",100.0         ,"6,207,108,793    ",100.0         ,"47,592      ","88,921,904    ",100.0         ,"5,746,568,751    ",100.0         ,"88,899,370     ","4,115,059,975   ",100.0         ,"88,921,898     ","748,010,125    ",100.0         ,"748,017,488    ",100.0         ,18.2          ,13.0          ,"8,412        "
No adjusted gross income*.,"1,813,840    ",1.4         ,"-80,477,587    ",[3]         ,"-44,369      ","4,522    ",[3]         ,"-5,094,991    ",[2]         ,--     ,--   ,--         ,"4,518     ","78,488    ",[3]         ,"78,578    ",[3]         ,[2]          ,[2]          ,"17,377        "
"$1 under $5,000*.","11,697,629    ",9.0         ,"31,038,758    ",0.5         ,"2,653      ","835,921    ",0.9         ,"2,494,290    ",[3]         ,"833,898     ","610,224   ",[3]         ,"835,921   ","72,959   ",[3]         ,"72,959   ",[3]         ,12.0          ,2.9          ,87        
"$5,000 under $10,000*.","12,503,410    ",9.6         ,"93,177,706    ",1.5         ,"7,452      ","4,116,242    ",4.6         ,"31,995,563    ",0.6         ,"4,115,045     ","7,956,944   ",0.2         ,"4,116,242   ","780,450   ",0.1         ,"780,450   ",0.1         ,9.8          ,2.4          ,190        
"$10,000 under $15,000*.","12,002,003    ",9.2         ,"149,440,301    ",2.4         ,"12,451      ","6,042,925    ",6.8         ,"75,393,048    ",1.3         ,"6,042,417     ","28,261,843   ",0.7         ,"6,042,925   ","2,750,658   ",0.4         ,"2,750,658   ",0.4         ,9.7          ,3.6          ,455        
"$15,000 under $20,000*.","11,293,968    ",8.7         ,"197,178,297    ",3.2         ,"17,459      ","6,304,104    ",7.1         ,"110,625,567    ",1.9         ,"6,302,026     ","50,371,975   ",1.2         ,"6,304,104   ","5,404,734   ",0.7         ,"5,404,734   ",0.7         ,10.7          ,4.9          ,857        
"$20,000 under $25,000*.","9,831,151    ",7.5         ,"220,503,762    ",3.6         ,"22,429      ","6,095,228    ",6.9         ,"137,029,808    ",2.4         ,"6,094,991     ","72,410,263   ",1.8         ,"6,095,228     ","8,274,086    ",1.1         ,"8,274,086    ",1.1         ,11.4          ,6.0          ,"1,357        "
"$25,000 under $30,000*.","8,541,753    ",6.5         ,"234,588,965    ",3.8         ,"27,464      ","6,092,090    ",6.9         ,"167,694,124    ",2.9         ,"6,092,049     ","97,429,358   ",2.4         ,"6,092,090     ","11,036,040    ",1.5         ,"11,036,040    ",1.5         ,11.3          ,6.6          ,"1,812        "
