"Table 1.1--2003, Individual Income Tax Returns, Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",,,,,,,,,, ,,,,,,,,,,
(All figures are estimates based on samples--money amounts are in thousands of dollars except as indicated),,,,,,,,,, ,,,,,,,,,,
"$30,000 under $40,000*.","13,957,257    ",10.7         ,"484,774,627    ",7.8         ,"34,733      ","11,856,081    ",13.3         ,"413,146,253    ",7.2         ,"11,856,021     ","254,354,428   ",6.2         ,"11,856,081     ","29,737,818    ",4.0         ,"29,737,818    ",4.0         ,11.7          ,7.2          ,"2,508        "
"$40,000 under $50,000*.","10,452,445    ",8.0         ,"467,518,979    ",7.5         ,"44,728      ","9,668,366    ",10.9         ,"432,975,517    ",7.5         ,"9,665,520     ","276,796,514   ",6.7         ,"9,668,366     ","34,634,209    ",4.6         ,"34,635,213    ",4.6         ,12.5          ,8.0          ,"3,582        "
"$50,000 under $75,000*.","17,372,492    ",13.3         ,"1,065,749,827    ",17.2         ,"61,347      ","17,024,921    ",19.1         ,"1,045,511,568    ",18.2         ,"17,022,619     ","702,291,485   ",17.1         ,"17,024,921     ","94,256,193    ",12.6         ,"94,256,193    ",12.6         ,13.4          ,9.0          ,"5,536        "
"$75,000 under $100,000*.","9,542,599    ",7.3         ,"820,884,076    ",13.2         ,"86,023      ","9,486,123    ",10.7         ,"816,206,695    ",14.2         ,"9,484,573     ","575,890,228   ",14.0         ,"9,486,123     ","84,253,116    ",11.3         ,"84,253,116    ",11.3         ,14.6          ,10.3          ,"8,882        "
"$100,000 under $200,000*.","8,878,643    ",6.8         ,"1,170,179,856    ",18.9         ,"131,797      ","8,861,764    ",10.0         ,"1,167,988,946    ",20.3         ,"8,858,018     ","875,512,626   ",21.3         ,"8,861,764     ","163,342,405    ",21.8         ,"163,342,407    ",21.8         ,18.7          ,14.0          ,"18,432        "
"$200,000 under $500,000*.","1,999,016    ",1.5         ,"576,309,296    ",9.3         ,"288,296      ","1,996,787    ",2.2         ,"575,673,389    ",10.0         ,"1,995,958     ","482,717,655   ",11.7         ,"1,996,787     ","120,710,917    ",16.1         ,"120,711,552    ",16.1         ,25.0          ,21.0          ,"60,453        "
"$500,000 under $1,000,000*.","356,140    ",0.3         ,"241,211,330    ",3.9         ,"677,294      ","355,750    ",0.4         ,"240,943,755    ",4.2         ,"355,390     ","212,761,707   ",5.2         ,"355,749     ","60,180,621    ",8.0         ,"60,180,643    ",8.0         ,28.3          ,25.0          ,"169,166        "
"$1,000,000 under $1,500,000*.","81,695    ",0.1         ,"98,875,460    ",1.6         ,"1,210,300      ","81,588    ",0.1         ,"98,744,564    ",1.7         ,"81,491     ","88,335,720   ",2.1         ,"81,587     ","25,550,669    ",3.4         ,"25,551,466    ",3.4         ,28.9          ,25.9          ,"313,177        "
"$1,500,000 under $2,000,000*.","34,017    ",[3]         ,"58,497,902    ",0.9         ,"1,719,667      ","33,984    ",[3]         ,"58,440,100    ",1.0         ,"33,938     ","52,488,902   ",1.3         ,"33,984     ","15,315,946    ",2.0         ,"15,316,006    ",2.0         ,29.2          ,26.2          ,"450,683        "
"$2,000,000 under $5,000,000*.","48,278    ",[3]         ,"142,219,690    ",2.3         ,"2,945,849      ","48,235    ",0.1         ,"142,091,816    ",2.5         ,"48,164     ","128,190,317   ",3.1         ,"48,235     ","36,900,818    ",4.9         ,"36,905,426    ",4.9         ,28.8          ,26.0          ,"765,117        "
"$5,000,000 under $10,000,000*.","11,168    ",[3]         ,"76,311,438    ",1.2         ,"6,833,044      ","11,160    ",[3]         ,"76,253,821    ",1.3         ,"11,150     ","68,499,870   ",1.7         ,"11,160     ","19,313,626    ",2.6         ,"19,313,636    ",2.6         ,28.2          ,25.3          ,"1,730,613        "
"$10,000,000 or more*.","6,126    ",[3]         ,"159,126,113    ",2.6         ,"25,975,533      ","6,114    ",[3]         ,"158,454,920    ",2.8         ,"6,104     ","140,179,919   ",3.4         ,"6,114     ","35,416,375    ",4.7         ,"35,416,509    ",4.7         ,25.3          ,22.4          ,"5,792,690        "
"Table 1.1--2003, Individual Income Tax Returns, Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income--Continued",,,,,,,,,, ,,,,,,,,,,
(All figures are estimates based on samples--money amounts are in thousands of dollars except as indicated),,,,,,,,,, ,,,,,,,,,,
,All returns,,,,,Taxable returns,,,, ,,,,,,,,,,
Size and accumulated size,,,Adjusted gross,,,,,Adjusted gross,, ,,,,,,,,,,
of adjusted gross income,Number,Percent,income less deficit,,,Number,Percent,income less deficit,, ,,,,,,,,,,
,of returns,of total,Amount,Percent,Average,of returns,of total,Amount,Percent, ,,,,,,,,,,
,,,,of total,(dollars),,,,of total, ,,,,,,,,,,
,(21),(22),(23),(24),(25),(26),(27),(28),(29), ,,,,,,,,,,
Accumulated from Smallest Size,,,,,,,,,, ,,,,,,,,,,
of Adjusted Gross Income,,,,,,,,,, ,,,,,,,,,,
No adjusted gross income*.,"1,813,840    ",1.4         ,"-80,477,587   ",[2]          ,"-44,369        ","4,522     ",[3]          ,"-5,094,991   ",[2]          ,           ,,,,,,,,,,
"$1 under $5,000*.","11,697,628    ",9.0         ,"31,038,757   ",0.5          ,"2,653        ","835,922     ",0.9          ,"2,494,291   ",[3]          ,           ,,,,,,,,,,
"$1 under $10,000*.","24,201,037    ",18.6         ,"124,216,462   ",2.0          ,"5,133        ","4,952,164     ",5.6          ,"34,489,853   ",0.6          ,           ,,,,,,,,,,
"$1 under $15,000*.","36,203,041    ",27.8         ,"273,656,763   ",4.4          ,"7,559        ","10,995,089     ",12.4          ,"109,882,901   ",1.9          ,           ,,,,,,,,,,
"$1 under $20,000*.","47,497,008    ",36.4         ,"470,835,060   ",7.5          ,"9,913        ","17,299,192     ",19.5          ,"220,508,468   ",3.8          ,           ,,,,,,,,,,
"$1 under $25,000*.","57,328,159    ",44.0         ,"691,338,821   ",11.0          ,"12,059        ","23,394,420     ",26.3          ,"357,538,276   ",6.2          ,           ,,,,,,,,,,
"$1 under $30,000*.","65,869,911    ",50.5         ,"925,927,786   ",14.7          ,"14,057        ","29,486,511     ",33.2          ,"525,232,400   ",9.1          ,           ,,,,,,,,,,
"$1 under $40,000*.","79,827,169    ",61.2         ,"1,410,702,413   ",22.4          ,"17,672        ","41,342,591     ",46.5          ,"938,378,653   ",16.3          ,           ,,,,,,,,,,
"$1 under $50,000*.","90,279,613    ",69.2         ,"1,878,221,392   ",29.9          ,"20,804        ","51,010,957     ",57.4          ,"1,371,354,169   ",23.8          ,           ,,,,,,,,,,
"$1 under $75,000*.","107,652,105    ",82.5         ,"2,943,971,220   ",46.8          ,"27,347        ","68,035,878     ",76.5          ,"2,416,865,737   ",42.0          ,           ,,,,,,,,,,
"$1 under $100,000*.","117,194,704    ",89.9         ,"3,764,855,296   ",59.9          ,"32,125        ","77,522,001     ",87.2          ,"3,233,072,432   ",56.2          ,           ,,,,,,,,,,
"$1 under $200,000*.","126,073,347    ",96.7         ,"4,935,035,152   ",78.5          ,"39,144        ","86,383,765     ",97.1          ,"4,401,061,378   ",76.5          ,           ,,,,,,,,,,
"$1 under $500,000*.","128,072,362    ",98.2         ,"5,511,344,448   ",87.7          ,"43,033        ","88,380,552     ",99.4          ,"4,976,734,767   ",86.5          ,           ,,,,,,,,,,
"$1 under $1,000,000*.","128,428,502    ",98.5         ,"5,752,555,778   ",91.5          ,"44,792        ","88,736,302     ",99.8          ,"5,217,678,522   ",90.7          ,           ,,,,,,,,,,
"$1 under $1,500,000*.","128,510,198    ",98.5         ,"5,851,431,238   ",93.1          ,"45,533        ","88,817,890     ",99.9          ,"5,316,423,086   ",92.4          ,           ,,,,,,,,,,
"$1 under $2,000,000*.","128,544,214    ",98.6         ,"5,909,929,140   ",94.0          ,"45,976        ","88,851,873     ",99.9          ,"5,374,863,185   ",93.4          ,           ,,,,,,,,,,
"$1 under $5,000,000*.","128,592,492    ",98.6         ,"6,052,148,830   ",96.3          ,"47,065        ","88,900,108     ",100.0          ,"5,516,955,001   ",95.9          ,           ,,,,,,,,,,
"$1 under $10,000,000*.","128,603,660    ",98.6         ,"6,128,460,268   ",97.5          ,"47,654        ","88,911,268     ",100.0          ,"5,593,208,822   ",97.2          ,           ,,,,,,,,,,
$1 or more*.,"128,609,786    ",98.6         ,"6,287,586,380   ",100.0          ,"48,889        ","88,917,382     ",100.0          ,"5,751,663,742   ",100.0          ,           ,,,,,,,,,,
All returns*.,"130,423,626    ",100.0         ,"6,207,108,793   ",98.7 ¹          ,"47,592        ","88,921,904     ",100.0          ,"5,746,568,751   ",[1] 99.9          ,           ,,,,,,,,,,
,Taxable returns--continued,,,,,,,,,,,,,,,,,,,
,Taxable income,,,Income tax after credits,,,Total income tax,,,,,,,,,,,,,
Size and accumulated size,Number of,Amount,Percentage of,Number of,Amount,Percentage of,Amount,Percentage of,,,Average,,,,,,,,,
of adjusted gross income,returns,,total,returns,,total,,Total,Taxable,Adjusted gross,income tax,,,,,,,,,
,,,,,,,,,income,income less deficit,(dollars),,,,,,,,,
,(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),,,,,,,,,
Accumulated from Smallest Size,,,,,,,,,,,,,,,,,,,,
of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
No adjusted gross income*.,--     ,--   ,--         ,"4,518     ","78,488    ",[3]         ,"78,578    ",[3]         ,[2]          ,[2]          ,"17,377        ",,,,,,,,,
"$1 under $5,000*.","833,898     ","610,224   ",[3]         ,"835,922     ","72,958    ",[3]         ,"72,958    ",[3]         ,12.0          ,2.9          ,87        ,,,,,,,,,
"$1 under $10,000*.","4,948,942     ","8,567,167   ",0.2         ,"4,952,164     ","853,407    ",0.1         ,"853,407    ",0.1         ,10.0          ,2.5          ,172        ,,,,,,,,,
"$1 under $15,000*.","10,991,360     ","36,829,010   ",0.9         ,"10,995,089     ","3,604,066    ",0.5         ,"3,604,066    ",0.5         ,9.8          ,3.3          ,328        ,,,,,,,,,
"$1 under $20,000*.","17,293,387     ","87,200,985   ",2.1         ,"17,299,192     ","9,008,800    ",1.2         ,"9,008,800    ",1.2         ,10.3          ,4.1          ,521        ,,,,,,,,,
"$1 under $25,000*.","23,388,378     ","159,611,248   ",3.9         ,"23,394,420     ","17,282,886    ",2.3         ,"17,282,886    ",2.3         ,10.8          ,4.8          ,739        ,,,,,,,,,
"$1 under $30,000*.","29,480,427     ","257,040,606   ",6.2         ,"29,486,511     ","28,318,926    ",3.8         ,"28,318,926    ",3.8         ,11.0          ,5.4          ,960        ,,,,,,,,,
"$1 under $40,000*.","41,336,448     ","511,395,034   ",12.4         ,"41,342,591     ","58,056,744    ",7.8         ,"58,056,744    ",7.8         ,11.4          ,6.2          ,"1,404        ",,,,,,,,,
"$1 under $50,000*.","51,001,967     ","788,191,548   ",19.2         ,"51,010,957     ","92,690,953    ",12.4         ,"92,691,957    ",12.4         ,11.8          ,6.8          ,"1,817        ",,,,,,,,,
"$1 under $75,000*.","68,024,586     ","1,490,483,033   ",36.2         ,"68,035,878     ","186,947,146    ",25.0         ,"186,948,150    ",25.0         ,12.5          ,7.7          ,"2,748        ",,,,,,,,,
"$1 under $100,000*.","77,509,159     ","2,066,373,261   ",50.2         ,"77,522,001     ","271,200,262    ",36.3         ,"271,201,266    ",36.3         ,13.1          ,8.4          ,"3,498        ",,,,,,,,,
"$1 under $200,000*.","86,367,177     ","2,941,885,887   ",71.5         ,"86,383,765     ","434,542,667    ",58.1         ,"434,543,673    ",58.1         ,14.8          ,9.9          ,"5,030        ",,,,,,,,,
"$1 under $500,000*.","88,363,135     ","3,424,603,541   ",83.2         ,"88,380,552     ","555,253,584    ",74.2         ,"555,255,225    ",74.2         ,16.2          ,11.2          ,"6,283        ",,,,,,,,,
"$1 under $1,000,000*.","88,718,525     ","3,637,365,248   ",88.4         ,"88,736,301     ","615,434,204    ",82.3         ,"615,435,868    ",82.3         ,16.9          ,11.8          ,"6,936        ",,,,,,,,,
"$1 under $1,500,000*.","88,800,016     ","3,725,700,968   ",90.5         ,"88,817,888     ","640,984,873    ",85.7         ,"640,987,333    ",85.7         ,17.2          ,12.1          ,"7,217        ",,,,,,,,,
"$1 under $2,000,000*.","88,833,953     ","3,778,189,870   ",91.8         ,"88,851,871     ","656,300,819    ",87.7         ,"656,303,340    ",87.7         ,17.4          ,12.2          ,"7,386        ",,,,,,,,,
"$1 under $5,000,000*.","88,882,117     ","3,906,380,187   ",94.9         ,"88,900,106     ","693,201,636    ",92.7         ,"693,208,766    ",92.7         ,17.7          ,12.6          ,"7,798        ",,,,,,,,,
"$1 under $10,000,000*.","88,893,266     ","3,974,880,056   ",96.6         ,"88,911,266     ","712,515,262    ",95.3         ,"712,522,401    ",95.3         ,17.9          ,12.7          ,"8,014        ",,,,,,,,,
$1 or more*.,"88,899,370     ","4,115,059,975   ",100.0         ,"88,917,380     ","747,931,637    ",100.0         ,"747,938,910    ",100.0         ,18.2          ,13.0          ,"8,412        ",,,,,,,,,
All returns*.,"88,899,370     ","4,115,059,975   ",100.0         ,"88,921,898     ","748,010,125    ",100.0         ,"748,017,488    ",100.0         ,18.2          ,13.0          ,"8,412        ",,,,,,,,,
   Footnotes at end of table.,,,,,,,,,,,,,,,,,,,,
"Table 1.1--2003, Individual Income Tax Returns, Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income--Continued",,,,,,,,,, ,,,,,,,,,,
(All figures are estimates based on samples--money amounts are in thousands of dollars except as indicated),,,,,,,,,, ,,,,,,,,,,
,All returns,,,,,Taxable returns,,,, ,,,,,,,,,,
Size and accumulated size,,,Adjusted gross,,,,,Adjusted gross,, ,,,,,,,,,,
of adjusted gross income,Number,Percent,income less deficit,,,Number,Percent,income less deficit,, ,,,,,,,,,,
,of returns,of total,Amount,Percent,Average,of returns,of total,Amount,Percent, ,,,,,,,,,,
,,,,of total,(dollars),,,,of total, ,,,,,,,,,,
,(41),(42),(43),(44),(45),(46),(47),(48),(49), ,,,,,,,,,,
Accumulated from Largest Size,,,,,,,,,, ,,,,,,,,,,
of Adjusted Gross Income,,,,,,,,,, ,,,,,,,,,,
"$10,000,000 or more*.","6,126    ",[3]         ,"159,126,113    ",2.5         ,"25,975,533       ","6,114     ",[3]         ,"158,454,920   ",2.8          ,          ,,,,,,,,,,
"$5,000,000 or more*.","17,294    ",[3]         ,"235,437,550    ",3.7         ,"13,613,828       ","17,274     ",[3]         ,"234,708,741   ",4.1          ,          ,,,,,,,,,,
"$2,000,000 or more*.","65,572    ",0.1         ,"377,657,240    ",6.0         ,"5,759,428       ","65,509     ",0.1         ,"376,800,557   ",6.6          ,          ,,,,,,,,,,
"$1,500,000 or more*.","99,588    ",0.1         ,"436,155,142    ",6.9         ,"4,379,595       ","99,492     ",0.1         ,"435,240,657   ",7.6          ,          ,,,,,,,,,,
"$1,000,000 or more*.","181,283    ",0.1         ,"535,030,602   ",8.5         ,"2,951,356       ","181,080     ",0.2         ,"533,985,221   ",9.3          ,           ,,,,,,,,,,
"$500,000 or more*.","537,423    ",0.4         ,"776,241,933   ",12.3         ,"1,444,378       ","536,830     ",0.6         ,"774,928,976   ",13.5          ,           ,,,,,,,,,,
"$200,000 or more*.","2,536,439    ",1.9         ,"1,352,551,228   ",21.5         ,"533,248       ","2,533,617     ",2.8         ,"1,350,602,364   ",23.5          ,           ,,,,,,,,,,
"$100,000 or more*.","11,415,082    ",8.8         ,"2,522,731,084   ",40.1         ,"221,000       ","11,395,381     ",12.8         ,"2,518,591,311   ",43.8          ,           ,,,,,,,,,,
"$75,000 or more*.","20,957,680    ",16.1         ,"3,343,615,161   ",53.2         ,"159,541       ","20,881,504     ",23.5         ,"3,334,798,006   ",58.0          ,           ,,,,,,,,,,
"$50,000 or more*.","38,330,173    ",29.4         ,"4,409,364,988   ",70.1         ,"115,036       ","37,906,425     ",42.6         ,"4,380,309,573   ",76.2          ,           ,,,,,,,,,,
"$40,000 or more*.","48,782,617    ",37.4         ,"4,876,883,967   ",77.6         ,"99,972       ","47,574,791     ",53.5         ,"4,813,285,090   ",83.7          ,           ,,,,,,,,,,
"$30,000 or more*.","62,739,874    ",48.1         ,"5,361,658,594   ",85.3         ,"85,459       ","59,430,871     ",66.8         ,"5,226,431,343   ",90.9          ,           ,,,,,,,,,,
"$25,000 or more*.","71,281,627    ",54.7         ,"5,596,247,559   ",89.0         ,"78,509       ","65,522,962     ",73.7         ,"5,394,125,467   ",93.8          ,           ,,,,,,,,,,
"$20,000 or more*.","81,112,778    ",62.2         ,"5,816,751,321   ",92.5         ,"71,712       ","71,618,190     ",80.5         ,"5,531,155,275   ",96.2          ,           ,,,,,,,,,,
"$15,000 or more*.","92,406,745    ",70.9         ,"6,013,929,618   ",95.6         ,"65,081       ","77,922,293     ",87.6         ,"5,641,780,841   ",98.1          ,           ,,,,,,,,,,
"$10,000 or more*.","104,408,749    ",80.1         ,"6,163,369,918   ",98.0         ,"59,031       ","83,965,218     ",94.4         ,"5,717,173,890   ",99.4          ,           ,,,,,,,,,,
"$5,000 or more*.","116,912,158    ",89.6         ,"6,256,547,624   ",99.5         ,"53,515       ","88,081,460     ",99.1         ,"5,749,169,452   ",100.0          ,           ,,,,,,,,,,
$1 or more*.,"128,609,786    ",98.6         ,"6,287,586,380   ",100.0         ,"48,889       ","88,917,382     ",100.0         ,"5,751,663,742   ",100.0          ,           ,,,,,,,,,,
All returns*.,"130,423,626    ",100.0         ,"6,207,108,793   ",98.7 ¹         ,"47,592       ","88,921,904     ",100.0         ,"5,746,568,751   ",[1] 99.9          ,           ,,,,,,,,,,
,Taxable returns--continued,,,,,,,,,,,,,,,,,,,
,Taxable income,,,Income tax after credits,,,Total income tax,,,,,,,,,,,,,
Size and accumulated size,Number of,Amount,Percentage of,Number of,Amount,Percentage of,Amount,Percentage of,,,Average,,,,,,,,,
of adjusted gross income,returns,,total,returns,,total,,Total,Taxable,Adjusted gross,income tax,,,,,,,,,
,,,,,,,,,income,income less deficit,(dollars),,,,,,,,,
,(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),,,,,,,,,
Accumulated from Largest Size,,,,,,,,,,,,,,,,,,,,
of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
"$10,000,000 or more*.","6,104     ","140,179,919   ",3.4         ,"6,114     ","35,416,375    ",4.7         ,"35,416,509    ",4.7         ,25.3          ,22.4          ,"5,792,690      ",,,,,,,,,
"$5,000,000 or more*.","17,254     ","208,679,789   ",5.1         ,"17,274     ","54,730,001    ",7.3         ,"54,730,145    ",7.3         ,26.2          ,23.3          ,"3,168,354      ",,,,,,,,,
"$2,000,000 or more*.","65,417     ","336,870,105   ",8.2         ,"65,509     ","91,630,818    ",12.2         ,"91,635,571    ",12.3         ,27.2          ,24.3          ,"1,398,824      ",,,,,,,,,
"$1,500,000 or more*.","99,355     ","389,359,007   ",9.5         ,"99,492     ","106,946,764    ",14.3         ,"106,951,577    ",14.3         ,27.5          ,24.6          ,"1,074,977      ",,,,,,,,,
"$1,000,000 or more*.","180,846     ","477,694,727   ",11.6         ,"181,079     ","132,497,433    ",17.7         ,"132,503,042    ",17.7         ,27.7          ,24.8          ,"731,738      ",,,,,,,,,
"$500,000 or more*.","536,236     ","690,456,434   ",16.8         ,"536,828     ","192,678,053    ",25.8         ,"192,683,685    ",25.8         ,27.9          ,24.9          ,"358,929      ",,,,,,,,,
"$200,000 or more*.","2,532,194     ","1,173,174,089   ",28.5         ,"2,533,615     ","313,388,970    ",41.9         ,"313,395,237    ",41.9         ,26.7          ,23.2          ,"123,695      ",,,,,,,,,
"$100,000 or more*.","11,390,212     ","2,048,686,715   ",49.8         ,"11,395,379     ","476,731,375    ",63.7         ,"476,737,644    ",63.7         ,23.3          ,18.9          ,"41,836      ",,,,,,,,,
"$75,000 or more*.","20,874,785     ","2,624,576,942   ",63.8         ,"20,881,502     ","560,984,491    ",75.0         ,"560,990,760    ",75.0         ,21.4          ,16.8          ,"26,865      ",,,,,,,,,
"$50,000 or more*.","37,897,403     ","3,326,868,427   ",80.8         ,"37,906,423     ","655,240,684    ",87.6         ,"655,246,953    ",87.6         ,19.7          ,15.0          ,"17,286      ",,,,,,,,,
"$40,000 or more*.","47,562,923     ","3,603,664,941   ",87.6         ,"47,574,789     ","689,874,893    ",92.2         ,"689,882,166    ",92.2         ,19.1          ,14.3          ,"14,501      ",,,,,,,,,
"$30,000 or more*.","59,418,944     ","3,858,019,369   ",93.8         ,"59,430,869     ","719,612,711    ",96.2         ,"719,619,984    ",96.2         ,18.7          ,13.8          ,"12,109      ",,,,,,,,,
"$25,000 or more*.","65,510,993     ","3,955,448,727   ",96.1         ,"65,522,960     ","730,648,751    ",97.7         ,"730,656,024    ",97.7         ,18.5          ,13.5          ,"11,151      ",,,,,,,,,
"$20,000 or more*.","71,605,984     ","4,027,858,990   ",97.9         ,"71,618,188     ","738,922,837    ",98.8         ,"738,930,110    ",98.8         ,18.3          ,13.4          ,"10,318      ",,,,,,,,,
"$15,000 or more*.","77,908,011     ","4,078,230,965   ",99.1         ,"77,922,291     ","744,327,571    ",99.5         ,"744,334,844    ",99.5         ,18.3          ,13.2          ,"9,552      ",,,,,,,,,
"$10,000 or more*.","83,950,428     ","4,106,492,809   ",99.8         ,"83,965,216     ","747,078,230    ",99.9         ,"747,085,503    ",99.9         ,18.2          ,13.1          ,"8,898      ",,,,,,,,,
"$5,000 or more*.","88,065,472     ","4,114,449,751   ",100.0         ,"88,081,458     ","747,858,679    ",100.0         ,"747,865,952    ",100.0         ,18.2          ,13.0          ,"8,491      ",,,,,,,,,
$1 or more*.,"88,899,370     ","4,115,059,975   ",100.0         ,"88,917,380     ","747,931,637    ",100.0         ,"747,938,910    ",100.0         ,18.2          ,13.0          ,"8,412      ",,,,,,,,,
All returns*.,"88,899,370     ","4,115,059,975   ",100.0         ,"88,921,898     ","748,010,125    ",100.0         ,"748,017,488    ",100.0         ,18.2          ,13.0          ,"8,412      ",,,,,,,,,
[1] Percentage less than 100 because of inclusion of negative AGI.,,,,,,,,,,,,,,,,,,,,
[2] Percentage not computed.,,,,,,,,,,,,,,,,,,,,
[3] Less than 0.05 percent.,,,,,,,,,,,,,,,,,,,,
NOTE: Detail may not add to totals because of rounding.,,,,,,,,,,,,,,,,,,,,
"Source: IRS, Statistics of Income, Individual Complete Report 2003, Publication 1304, October 2005.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
