"Table 1.1--Selected Income and Tax Items, by Size and Accumulated Size of 
Adjusted Gross Income, Tax Year 2006",,,,,,,,,,,,,,,,,,,,
(All figures are estimates based on samples--money amounts are in thousands of dollars except as indicated),,,,,,,,,,,,,,,,,,,,
,All returns,,,,,Taxable returns,,,,,,,,,,,,,,
Size and accumulated size,,,Adjusted gross,,,,,Adjusted gross,,Taxable income,,,Income tax after credits,,,Total income tax,,,,
of adjusted gross income,Number,Percent,income less deficit,,,Number,Percent,income less deficit,,Number of,Amount,Percentage of,Number of,Amount,Percentage of,Amount,Percentage of,,,Average
,of returns,of total,Amount,Percent,Average,of returns,of total,Amount,Percent,returns,,total,returns,,total,,Total,Taxable,Adjusted gross,income tax
,,,,of total,(dollars),,,,of total,,,,,,,,,income,income less deficit,(dollars)
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
Size of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
Total,"138,394,754",100.0,"8,030,842,945",100.0,"58,029","92,740,927",100.0,"7,439,473,162",100.0,"92,713,707","5,460,467,126",100.0,"92,740,926","1,023,916,399",100.0,"1,023,920,139",100.0,18.8,13.8,"11,041"
No adjusted gross income,"2,675,594",1.9,"-91,196,611",[1],"-34,085","6,301",[2],"-5,987,541",[1],0,0,[1],"6,301","181,211",[2],"181,211",[2],[1],[1],"28,759"
"$1 under $5,000","11,633,370",8.4,"31,004,475",0.4,"2,665","856,788",0.9,"2,257,448",[2],"856,524","959,903",[2],"856,788","88,684",[2],"88,684",[2],9.2,3.9,104
"$5,000 under $10,000","11,786,747",8.5,"87,992,646",1.1,"7,465","3,368,135",3.6,"25,495,646",0.3,"3,366,091","6,593,825",0.1,"3,368,135","654,390",0.1,"654,390",0.1,9.9,2.6,194
"$10,000 under $15,000","11,711,680",8.5,"146,357,710",1.8,"12,497","5,775,872",6.2,"72,134,324",1.0,"5,774,668","24,791,811",0.5,"5,775,872","2,373,130",0.2,"2,373,130",0.2,9.6,3.3,411
"$15,000 under $20,000","10,937,694",7.9,"191,038,095",2.4,"17,466","5,720,555",6.2,"100,369,887",1.3,"5,718,790","46,091,776",0.8,"5,720,555","4,759,278",0.5,"4,759,278",0.5,10.3,4.7,832
"$20,000 under $25,000","9,912,261",7.2,"222,862,623",2.8,"22,484","5,853,087",6.3,"131,704,447",1.8,"5,852,412","67,420,436",1.2,"5,853,087","7,501,691",0.7,"7,501,691",0.7,11.1,5.7,"1,282"
"$25,000 under $30,000","8,749,761",6.3,"240,252,128",3.0,"27,458","5,777,215",6.2,"159,017,821",2.1,"5,777,020","91,166,552",1.7,"5,777,215","10,396,566",1.0,"10,396,566",1.0,11.4,6.5,"1,800"
"$30,000 under $40,000","14,151,824",10.2,"492,158,138",6.1,"34,777","11,156,228",12.0,"389,433,125",5.2,"11,155,560","237,763,671",4.4,"11,156,228","27,293,090",2.7,"27,293,090",2.7,11.5,7.0,"2,446"
"$40,000 under $50,000","10,687,193",7.7,"478,795,699",6.0,"44,801","9,329,664",10.1,"418,586,587",5.6,"9,329,077","267,238,142",4.9,"9,329,664","32,509,507",3.2,"32,509,507",3.2,12.2,7.8,"3,485"
"$50,000 under $75,000","18,854,917",13.6,"1,158,386,347",14.4,"61,437","17,817,863",19.2,"1,097,416,753",14.8,"17,814,551","726,336,744",13.3,"17,817,863","94,443,384",9.2,"94,443,396",9.2,13.0,8.6,"5,300"
"$75,000 under $100,000","11,140,408",8.0,"960,841,319",12.0,"86,248","10,981,207",11.8,"947,433,910",12.7,"10,979,416","656,902,758",12.0,"10,981,207","90,019,371",8.8,"90,019,371",8.8,13.7,9.5,"8,198"
"$100,000 under $200,000","12,088,423",8.7,"1,606,322,715",20.0,"132,881","12,041,382",13.0,"1,600,506,040",21.5,"12,036,255","1,180,048,005",21.6,"12,041,382","209,381,101",20.4,"209,381,101",20.4,17.7,13.1,"17,388"
"$200,000 under $500,000","3,121,485",2.3,"895,151,023",11.1,"286,771","3,115,244",3.4,"893,337,094",12.0,"3,112,958","731,077,382",13.4,"3,115,243","177,041,085",17.3,"177,041,086",17.3,24.2,19.8,"56,831"
"$500,000 under $1,000,000","589,306",0.4,"399,608,986",5.0,"678,101","588,046",0.6,"398,745,041",5.4,"587,466","347,608,241",6.4,"588,046","94,213,951",9.2,"94,213,951",9.2,27.1,23.6,"160,215"
"$1,000,000 under $1,500,000","150,431",0.1,"182,043,576",2.3,"1,210,147","150,100",0.2,"181,642,049",2.4,"149,994","161,343,642",3.0,"150,100","44,125,182",4.3,"44,125,225",4.3,27.3,24.3,"293,972"
"$1,500,000 under $2,000,000","64,007",[2],"110,211,789",1.4,"1,721,871","63,863",0.1,"109,965,064",1.5,"63,752","98,009,348",1.8,"63,863","26,720,695",2.6,"26,721,295",2.6,27.3,24.3,"418,416"
"$2,000,000 under $5,000,000","98,724",0.1,"295,129,497",3.7,"2,989,440","98,525",0.1,"294,545,355",4.0,"98,377","264,780,730",4.8,"98,525","71,645,509",7.0,"71,647,095",7.0,27.1,24.3,"727,197"
"$5,000,000 under $10,000,000","24,975",[2],"171,407,703",2.1,"6,863,171","24,924",[2],"171,031,711",2.3,"24,884","153,633,684",2.8,"24,924","39,556,521",3.9,"39,556,521",3.9,25.7,23.1,"1,587,086"
"$10,000,000 or more","15,956",[2],"452,475,087",5.6,"28,357,677","15,929",[2],"451,838,401",6.1,"15,911","398,700,477",7.3,"15,929","91,012,054",8.9,"91,013,554",8.9,22.8,20.1,"5,713,702"
Accumulated from Smallest Size of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
No adjusted gross income,"2,675,594",1.9,"-91,196,611",[1],"-34,085","6,301",[2],"-5,987,541",[1],0,0,[1],"6,301","181,211",[2],"181,211",[2],[1],[1],"28,759"
"$1 under $5,000","11,633,370",8.4,"31,004,475",0.4,"2,665","856,788",0.9,"2,257,448",[2],"856,524","959,903",[2],"856,788","88,684",[2],"88,684",[2],9.2,3.9,104
"$1 under $10,000","23,420,116",16.9,"118,997,121",1.5,"5,081","4,224,923",4.6,"27,753,094",0.4,"4,222,616","7,553,728",0.1,"4,224,923","743,074",0.1,"743,074",0.1,9.8,2.7,176
"$1 under $15,000","35,131,797",25.4,"265,354,831",3.3,"7,553","10,000,794",10.8,"99,887,418",1.3,"9,997,283","32,345,539",0.6,"10,000,794","3,116,203",0.3,"3,116,203",0.3,9.6,3.1,312
"$1 under $20,000","46,069,491",33.3,"456,392,925",5.7,"9,907","15,721,349",17.0,"200,257,306",2.7,"15,716,074","78,437,315",1.4,"15,721,349","7,875,481",0.8,"7,875,481",0.8,10.0,3.9,501
