"Table 1.1--Selected Income and Tax Items, by Size and Accumulated Size of 
Adjusted Gross Income, Tax Year 2006",,,,,,,,,,,,,,,,,,,,
"$1 under $25,000","55,981,752",40.5,"679,255,548",8.5,"12,134","21,574,436",23.3,"331,961,753",4.5,"21,568,486","145,857,751",2.7,"21,574,436","15,377,173",1.5,"15,377,173",1.5,10.5,4.6,713
"$1 under $30,000","64,731,513",46.8,"919,507,676",11.4,"14,205","27,351,651",29.5,"490,979,574",6.6,"27,345,506","237,024,302",4.3,"27,351,651","25,773,739",2.5,"25,773,739",2.5,10.9,5.2,942
"$1 under $40,000","78,883,337",57.0,"1,411,665,814",17.6,"17,896","38,507,878",41.5,"880,412,699",11.8,"38,501,066","474,787,973",8.7,"38,507,878","53,066,828",5.2,"53,066,828",5.2,11.2,6.0,"1,378"
"$1 under $50,000","89,570,530",64.7,"1,890,461,513",23.5,"21,106","47,837,543",51.6,"1,298,999,286",17.5,"47,830,143","742,026,116",13.6,"47,837,543","85,576,336",8.4,"85,576,336",8.4,11.5,6.6,"1,789"
"$1 under $75,000","108,425,446",78.3,"3,048,847,860",38.0,"28,119","65,655,406",70.8,"2,396,416,039",32.2,"65,644,694","1,468,362,859",26.9,"65,655,406","180,019,719",17.6,"180,019,731",17.6,12.3,7.5,"2,742"
"$1 under $100,000","119,565,854",86.4,"4,009,689,179",49.9,"33,535","76,636,613",82.6,"3,343,849,949",44.9,"76,624,110","2,125,265,617",38.9,"76,636,613","270,039,090",26.4,"270,039,102",26.4,12.7,8.1,"3,524"
"$1 under $200,000","131,654,277",95.1,"5,616,011,895",69.9,"42,657","88,677,995",95.6,"4,944,355,988",66.5,"88,660,365","3,305,313,622",60.5,"88,677,995","479,420,191",46.8,"479,420,203",46.8,14.5,9.7,"5,406"
"$1 under $500,000","134,775,762",97.4,"6,511,162,917",81.1,"48,311","91,793,239",99.0,"5,837,693,082",78.5,"91,773,323","4,036,391,004",73.9,"91,793,238","656,461,276",64.1,"656,461,288",64.1,16.3,11.2,"7,152"
"$1 under $1,000,000","135,365,067",97.8,"6,910,771,903",86.1,"51,053","92,381,285",99.6,"6,236,438,122",83.8,"92,360,789","4,383,999,245",80.3,"92,381,284","750,675,227",73.3,"750,675,240",73.3,17.1,12.0,"8,126"
"$1 under $1,500,000","135,515,499",97.9,"7,092,815,479",88.3,"52,340","92,531,385",99.8,"6,418,080,171",86.3,"92,510,782","4,545,342,886",83.2,"92,531,384","794,800,409",77.6,"794,800,464",77.6,17.5,12.4,"8,590"
"$1 under $2,000,000","135,579,506",98.0,"7,203,027,268",89.7,"53,128","92,595,248",99.8,"6,528,045,235",87.7,"92,574,535","4,643,352,235",85.0,"92,595,247","821,521,104",80.2,"821,521,759",80.2,17.7,12.6,"8,872"
"$1 under $5,000,000","135,678,229",98.0,"7,498,156,765",93.4,"55,264","92,693,773",99.9,"6,822,590,590",91.7,"92,672,912","4,908,132,965",89.9,"92,693,772","893,166,613",87.2,"893,168,854",87.2,18.2,13.1,"9,636"
"$1 under $10,000,000","135,703,204",98.1,"7,669,564,468",95.5,"56,517","92,718,697",100.0,"6,993,622,301",94.0,"92,697,796","5,061,766,649",92.7,"92,718,696","932,723,134",91.1,"932,725,375",91.1,18.4,13.3,"10,060"
$1 or more,"135,719,160",98.1,"8,122,039,556",101.1,"59,844","92,734,626",100.0,"7,445,460,702",100.1,"92,713,707","5,460,467,126",100.0,"92,734,625","1,023,735,188",100.0,"1,023,738,929",100.0,18.7,13.7,"11,039"
All returns,"138,394,754",100.0,"8,030,842,945",100.0,"58,029","92,740,927",100.0,"7,439,473,162",100.0,"92,713,707","5,460,467,126",100.0,"92,740,926","1,023,916,399",100.0,"1,023,920,139",100.0,18.8,13.8,"11,041"
Accumulated from Largest Size of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
"$10,000,000 or more","15,956",[2],"452,475,087",5.6,"28,357,677","15,929",[2],"451,838,401",6.1,"15,911","398,700,477",7.3,"15,929","91,012,054",8.9,"91,013,554",8.9,22.8,20.1,"5,713,702"
"$5,000,000 or more","40,931",[2],"623,882,790",7.8,"15,242,305","40,853",[2],"622,870,112",8.4,"40,795","552,334,161",10.1,"40,853","130,568,575",12.8,"130,570,075",12.8,23.6,21.0,"3,196,095"
"$2,000,000 or more","139,655",0.1,"919,012,287",11.4,"6,580,590","139,378",0.2,"917,415,467",12.3,"139,172","817,114,891",15.0,"139,378","202,214,084",19.7,"202,217,170",19.7,24.7,22.0,"1,450,854"
"$1,500,000 or more","203,661",0.1,"1,029,224,076",12.8,"5,053,614","203,241",0.2,"1,027,380,531",13.8,"202,925","915,124,239",16.8,"203,241","228,934,779",22.4,"228,938,464",22.4,25.0,22.3,"1,126,438"
"$1,000,000 or more","354,093",0.3,"1,211,267,653",15.1,"3,420,761","353,341",0.4,"1,209,022,580",16.3,"352,918","1,076,467,881",19.7,"353,341","273,059,961",26.7,"273,063,689",26.7,25.4,22.6,"772,805"
"$500,000 or more","943,398",0.7,"1,610,876,638",20.1,"1,707,526","941,387",1.0,"1,607,767,621",21.6,"940,384","1,424,076,122",26.1,"941,387","367,273,912",35.9,"367,277,640",35.9,25.8,22.8,"390,145"
"$200,000 or more","4,064,884",2.9,"2,506,027,661",31.2,"616,507","4,056,631",4.4,"2,501,104,714",33.6,"4,053,342","2,155,153,504",39.5,"4,056,630","544,314,997",53.2,"544,318,726",53.2,25.3,21.8,"134,180"
"$100,000 or more","16,153,306",11.7,"4,112,350,377",51.2,"254,583","16,098,014",17.4,"4,101,610,754",55.1,"16,089,597","3,335,201,509",61.1,"16,098,013","753,696,098",73.6,"753,699,827",73.6,22.6,18.4,"46,819"
"$75,000 or more","27,293,714",19.7,"5,073,191,695",63.2,"185,874","27,079,221",29.2,"5,049,044,664",67.9,"27,069,013","3,992,104,266",73.1,"27,079,220","843,715,469",82.4,"843,719,198",82.4,21.1,16.7,"31,157"
"$50,000 or more","46,148,630",33.3,"6,231,578,042",77.6,"135,033","44,897,084",48.4,"6,146,461,416",82.6,"44,883,564","4,718,441,010",86.4,"44,897,083","938,158,852",91.6,"938,162,593",91.6,19.9,15.3,"20,896"
"$40,000 or more","56,835,823",41.1,"6,710,373,742",83.6,"118,066","54,226,748",58.5,"6,565,048,003",88.2,"54,212,641","4,985,679,152",91.3,"54,226,747","970,668,360",94.8,"970,672,100",94.8,19.5,14.8,"17,900"
"$30,000 or more","70,987,647",51.3,"7,202,531,880",89.7,"101,462","65,382,975",70.5,"6,954,481,129",93.5,"65,368,201","5,223,442,823",95.7,"65,382,974","997,961,449",97.5,"997,965,190",97.5,19.1,14.3,"15,263"
"$25,000 or more","79,737,408",57.6,"7,442,784,007",92.7,"93,341","71,160,190",76.7,"7,113,498,950",95.6,"71,145,221","5,314,609,375",97.3,"71,160,189","1,008,358,015",98.5,"1,008,361,756",98.5,19.0,14.2,"14,170"
"$20,000 or more","89,649,669",64.8,"7,665,646,631",95.5,"85,507","77,013,277",83.0,"7,245,203,397",97.4,"76,997,633","5,382,029,811",98.6,"77,013,276","1,015,859,707",99.2,"1,015,863,447",99.2,18.9,14.0,"13,191"
"$15,000 or more","100,587,363",72.7,"7,856,684,725",97.8,"78,108","82,733,832",89.2,"7,345,573,284",98.7,"82,716,423","5,428,121,587",99.4,"82,733,831","1,020,618,985",99.7,"1,020,622,725",99.7,18.8,13.9,"12,336"
"$10,000 or more","112,299,044",81.1,"8,003,042,435",99.7,"71,265","88,509,704",95.4,"7,417,707,608",99.7,"88,491,091","5,452,913,398",99.9,"88,509,703","1,022,992,114",99.9,"1,022,995,855",99.9,18.8,13.8,"11,558"
"$5,000 or more","124,085,791",89.7,"8,091,035,081",100.7,"65,205","91,877,838",99.1,"7,443,203,254",100.1,"91,857,182","5,459,507,223",100.0,"91,877,837","1,023,646,504",100.0,"1,023,650,244",100.0,18.7,13.8,"11,141"
$1 or more,"135,719,160",98.1,"8,122,039,556",101.1,"59,844","92,734,626",100.0,"7,445,460,702",100.1,"92,713,707","5,460,467,126",100.0,"92,734,625","1,023,735,188",100.0,"1,023,738,929",100.0,18.7,13.7,"11,039"
All returns,"138,394,754",100.0,"8,030,842,945",100.0,"58,029","92,740,927",100.0,"7,439,473,162",100.0,"92,713,707","5,460,467,126",100.0,"92,740,926","1,023,916,399",100.0,"1,023,920,139",100.0,18.8,13.8,"11,041"
   [1] Percentage not computed.,,,,,,,,,,,,,,,,,,,,
   [2] Less than 0.05 percent.,,,,,,,,,,,,,,,,,,,,
    NOTE: Detail may not add to totals because of rounding.,,,,,,,,,,,,,,,,,,,,
"    Source: IRS, Statistics of Income Division, July 2008",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
