Bracket (LowerBound to UpperBound),,-6,-8,-11,-14,-18,-19,-20
LowerBound,UpperBound,NumReturns,GrossIncome,TaxableIncome,IncomeTax,PercentOfTaxableIncomePaid,PercentOfGrossIncomePaid,AverageTotalIncomeTax
0,0,6014,-6111456,0,250487,0.00,0.00,41651
1,4999,285299,765302,305638,42331,13.90,5.50,148
5000,9999,1967069,14886296,3881124,395584,10.20,2.70,201
10000,14999,3021672,39267757,13467640,928662,6.90,2.40,307
15000,19999,4895526,85615474,38523137,2503969,6.50,2.90,511
20000,24999,4718512,105992911,55145640,4756061,8.60,4.50,1008
25000,29999,4690889,128948650,72932391,7023780,9.60,5.40,1497
30000,39999,9871627,345171098,212809105,21115460,9.90,6.10,2139
40000,49999,8720664,390928765,251563407,26638195,10.60,6.80,3055
50000,74999,16764287,1034722614,691476005,80932131,11.70,7.80,4828
75000,99999,11386865,984833505,687880789,86093509,12.50,8.70,7561
100000,199999,13870207,1854117785,1367729881,224422716,16.40,12.10,16180
200000,499999,3456861,981123679,781085522,192825788,24.70,19.70,55781
500000,999999,541486,366494116,307849811,88589912,28.80,24.20,163605
1000000,1499999,126344,152568144,130669758,38100342,29.20,25.00,301560
1500000,1999999,51282,88097887,76025953,22259918,29.30,25.30,434069
2000000,4999999,72676,216544486,187792734,54233686,28.90,25.00,746281
5000000,9999999,17447,119622949,104361781,29124480,27.90,24.30,1669312
10000000,999999999,11208,342611918,298876607,71433949,23.90,20.80,6373479
