"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income, Tax Year 2016 (Filing Year 2017)",,,,,,,,,,,,,,,,,,,,
(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated),,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income",All returns,,,,,Taxable returns,,,,,,,,,,,,,,
"$40,000 under $50,000","11,664,739",7.8,"522,264,709",5.1,"44,773","9,708,727",9.7,"435,534,037",4.5,"9,708,712","277,116,716",3.9,"9,708,505","32,485,769",2.3,"32,485,874",2.2,11.7,7.5,"3,346"
"$50,000 under $75,000","20,224,429",13.5,"1,241,757,056",12.1,"61,399","18,855,231",18.8,"1,161,151,533",12.1,"18,851,495","779,945,368",10.9,"18,854,920","101,543,381",7.1,"101,543,972",7.0,13.0,8.7,"5,385"
"$75,000 under $100,000","12,974,791",8.6,"1,125,717,919",11.0,"86,762","12,716,508",12.7,"1,103,588,143",11.5,"12,716,266","781,627,028",10.9,"12,716,262","108,311,522",7.6,"108,311,870",7.5,13.9,9.8,"8,517"
"$100,000 under $200,000","18,858,241",12.5,"2,552,480,810",25.0,"135,351","18,711,112",18.7,"2,533,880,324",26.5,"18,705,625","1,916,445,591",26.7,"18,709,307","321,541,776",22.5,"321,564,439",22.2,16.8,12.7,"17,186"
"$200,000 under $500,000","5,582,552",3.7,"1,588,349,368",15.5,"284,520","5,572,249",5.6,"1,585,683,739",16.6,"5,565,798","1,302,945,335",18.1,"5,562,896","305,763,804",21.4,"308,249,043",21.3,23.7,19.4,"55,319"
"$500,000 under $1,000,000","893,378",0.6,"599,623,741",5.9,"671,187","892,291",0.9,"598,883,785",6.3,"891,077","526,748,920",7.3,"890,843","151,737,289",10.6,"154,658,193",10.7,29.4,25.8,"173,327"
"$1,000,000 under $1,500,000","192,849",0.1,"232,559,675",2.3,"1,205,916","192,678",0.2,"232,354,664",2.4,"192,322","205,282,602",2.9,"192,148","63,698,770",4.5,"65,170,414",4.5,31.7,28.0,"338,235"
"$1,500,000 under $2,000,000","77,783",0.1,"133,632,583",1.3,"1,718,018","77,706",0.1,"133,498,257",1.4,"77,584","118,346,313",1.6,"77,539","37,624,170",2.6,"38,630,696",2.7,32.6,28.9,"497,139"
"$2,000,000 under $5,000,000","111,096",0.1,"329,910,864",3.2,"2,969,602","110,982",0.1,"329,572,634",3.4,"110,686","290,961,580",4.1,"110,634","93,170,299",6.5,"95,955,532",6.6,33.0,29.1,"864,604"
"$5,000,000 under $10,000,000","26,627",[2],"181,670,396",1.8,"6,822,789","26,606",[2],"181,546,749",1.9,"26,557","159,747,669",2.2,"26,549","50,143,630",3.5,"51,950,193",3.6,32.5,28.6,"1,952,574"
"$10,000,000 or more","16,087",[2],"482,067,421",4.7,"29,966,272","16,076",[2],"481,606,208",5.0,"16,041","404,732,884",5.6,"16,032","114,403,320",8.0,"121,355,752",8.4,30.0,25.2,"7,548,877"
Accumulated from smallest size of adjusted gross income,,,,,,,,,,,,,,,,,,,,
No adjusted gross income,"2,092,640",1.4,"-201,505,858",[1],"-96,293","6,163",[2],"-9,803,562",[1],0,0,0.0,"6,160","129,892",[2],"130,243",[2],[1],[1],"21,133"
"$1 under $5,000","9,988,692",6.6,"25,812,597",0.3,"2,584","166,102",0.2,"531,984",[2],"165,161","285,143",[2],"166,102","28,462",[2],"28,462",[2],10.0,5.4,171
"$1 under $10,000","20,987,815",14.0,"109,318,318",1.1,"5,209","1,981,238",2.0,"14,901,538",0.2,"1,980,167","3,641,688",0.1,"1,981,238","377,538",[2],"377,538",[2],10.4,2.5,191
"$1 under $15,000","32,823,155",21.8,"257,159,391",2.5,"7,835","6,306,912",6.3,"70,304,202",0.7,"6,302,841","18,638,482",0.3,"6,306,912","1,772,668",0.1,"1,772,668",0.1,9.5,2.5,281
"$1 under $20,000","43,733,264",29.1,"447,322,124",4.4,"10,228","11,492,902",11.5,"160,818,381",1.7,"11,488,647","54,974,152",0.8,"11,492,902","5,252,161",0.4,"5,252,161",0.4,9.6,3.3,457
"$1 under $25,000","53,580,358",35.7,"668,329,746",6.5,"12,473","16,906,520",16.9,"282,626,513",3.0,"16,902,248","112,867,261",1.6,"16,906,520","11,375,105",0.8,"11,375,107",0.8,10.1,4.0,673
"$1 under $30,000","62,468,669",41.6,"912,269,555",8.9,"14,604","22,364,847",22.4,"432,640,625",4.5,"22,359,489","192,220,281",2.7,"22,364,784","20,359,878",1.4,"20,359,894",1.4,10.6,4.7,910
"$1 under $40,000","77,556,944",51.6,"1,437,409,792",14.1,"18,534","33,166,163",33.1,"810,618,887",8.5,"33,160,449","416,641,652",5.8,"33,165,991","46,041,689",3.2,"46,041,763",3.2,11.1,5.7,"1,388"
"$1 under $50,000","89,221,683",59.4,"1,959,674,501",19.2,"21,964","42,874,890",42.9,"1,246,152,924",13.0,"42,869,161","693,758,368",9.7,"42,874,496","78,527,458",5.5,"78,527,637",5.4,11.3,6.3,"1,832"
"$1 under $75,000","109,446,112",72.8,"3,201,431,557",31.3,"29,251","61,730,121",61.7,"2,407,304,457",25.1,"61,720,656","1,473,703,736",20.5,"61,729,416","180,070,839",12.6,"180,071,609",12.5,12.2,7.5,"2,917"
"$1 under $100,000","122,420,903",81.5,"4,327,149,476",42.3,"35,346","74,446,629",74.4,"3,510,892,600",36.7,"74,436,922","2,255,330,764",31.4,"74,445,678","288,382,361",20.2,"288,383,479",19.9,12.8,8.2,"3,874"
"$1 under $200,000","141,279,144",94.0,"6,879,630,286",67.3,"48,695","93,157,741",93.1,"6,044,772,924",63.1,"93,142,547","4,171,776,355",58.1,"93,154,985","609,924,137",42.8,"609,947,918",42.2,14.6,10.1,"6,547"
"$1 under $500,000","146,861,696",97.7,"8,467,979,654",82.8,"57,660","98,729,990",98.7,"7,630,456,663",79.7,"98,708,345","5,474,721,690",76.2,"98,717,881","915,687,941",64.2,"918,196,961",63.5,16.8,12.0,"9,300"
"$1 under $1,000,000","147,755,074",98.3,"9,067,603,395",88.7,"61,369","99,622,281",99.6,"8,229,340,448",85.9,"99,599,422","6,001,470,610",83.6,"99,608,724","1,067,425,230",74.8,"1,072,855,154",74.2,17.9,13.0,"10,769"
"$1 under $1,500,000","147,947,923",98.5,"9,300,163,070",90.9,"62,861","99,814,959",99.8,"8,461,695,112",88.3,"99,791,744","6,206,753,212",86.4,"99,800,872","1,131,124,000",79.3,"1,138,025,568",78.7,18.3,13.4,"11,401"
"$1 under $2,000,000","148,025,706",98.5,"9,433,795,653",92.3,"63,731","99,892,665",99.8,"8,595,193,369",89.7,"99,869,328","6,325,099,525",88.1,"99,878,411","1,168,748,170",81.9,"1,176,656,264",81.4,18.6,13.7,"11,779"
"$1 under $5,000,000","148,136,802",98.6,"9,763,706,517",95.5,"65,910","100,003,647",100.0,"8,924,766,003",93.2,"99,980,014","6,616,061,105",92.1,"99,989,045","1,261,918,469",88.5,"1,272,611,796",88.0,19.2,14.3,"12,726"
"$1 under $10,000,000","148,163,429",98.6,"9,945,376,913",97.3,"67,124","100,030,253",100.0,"9,106,312,752",95.1,"100,006,571","6,775,808,774",94.4,"100,015,594","1,312,062,099",92.0,"1,324,561,989",91.6,19.5,14.5,"13,242"
$1 or more,"148,179,516",98.6,"10,427,444,334",102.0,"70,370","100,046,329",100.0,"9,587,918,960",100.1,"100,022,611","7,180,541,659",100.0,"100,031,626","1,426,465,419",100.0,"1,445,917,741",100.0,20.1,15.1,"14,452"
All returns,"150,272,157",100.0,"10,225,938,479",100.0,"68,049","100,052,490",100.0,"9,578,115,397",100.0,"100,022,611","7,180,541,659",100.0,"100,037,782","1,426,595,311",100.0,"1,446,047,984",100.0,20.1,15.1,"14,453"
Accumulated from largest size of adjusted gross income,,,,,,,,,,,,,,,,,,,,
"$10,000,000 or more","16,087",[2],"482,067,421",4.7,"29,966,272","16,076",[2],"481,606,208",5.0,"16,041","404,732,884",5.6,"16,032","114,403,320",8.0,"121,355,752",8.4,30.0,25.2,"7,548,877"
"$5,000,000 or more","42,714",[2],"663,737,817",6.5,"15,539,116","42,682",[2],"663,152,957",6.9,"42,598","564,480,553",7.9,"42,581","164,546,950",11.5,"173,305,945",12.0,30.7,26.1,"4,060,399"
"$2,000,000 or more","153,810",0.1,"993,648,681",9.7,"6,460,235","153,664",0.2,"992,725,591",10.4,"153,284","855,442,133",11.9,"153,215","257,717,249",18.1,"269,261,477",18.6,31.5,27.1,"1,752,274"
"$1,500,000 or more","231,593",0.2,"1,127,281,264",11.0,"4,867,510","231,370",0.2,"1,126,223,848",11.8,"230,868","973,788,446",13.6,"230,754","295,341,419",20.7,"307,892,173",21.3,31.6,27.3,"1,330,735"
"$1,000,000 or more","424,442",0.3,"1,359,840,939",13.3,"3,203,832","424,048",0.4,"1,358,578,512",14.2,"423,190","1,179,071,048",16.4,"422,902","359,040,189",25.2,"373,062,587",25.8,31.6,27.5,"879,765"
"$500,000 or more","1,317,820",0.9,"1,959,464,680",19.2,"1,486,899","1,316,339",1.3,"1,957,462,297",20.4,"1,314,267","1,705,819,968",23.8,"1,313,745","510,777,478",35.8,"527,720,780",36.5,30.9,27.0,"400,900"
"$200,000 or more","6,900,372",4.6,"3,547,814,048",34.7,"514,148","6,888,588",6.9,"3,543,146,036",37.0,"6,880,065","3,008,765,303",41.9,"6,876,641","816,541,282",57.2,"835,969,823",57.8,27.8,23.6,"121,356"
"$100,000 or more","25,758,613",17.1,"6,100,294,858",59.7,"236,825","25,599,700",25.6,"6,077,026,360",63.4,"25,585,690","4,925,210,894",68.6,"25,585,948","1,138,083,058",79.8,"1,157,534,262",80.0,23.5,19.0,"45,217"
"$75,000 or more","38,733,404",25.8,"7,226,012,777",70.7,"186,558","38,316,208",38.3,"7,180,614,503",75.0,"38,301,956","5,706,837,922",79.5,"38,302,210","1,246,394,580",87.4,"1,265,846,132",87.5,22.2,17.6,"33,037"
"$50,000 or more","58,957,833",39.2,"8,467,769,833",82.8,"143,624","57,171,439",57.1,"8,341,766,036",87.1,"57,153,451","6,486,783,290",90.3,"57,157,130","1,347,937,961",94.5,"1,367,390,104",94.6,21.1,16.4,"23,917"
"$40,000 or more","70,622,572",47.0,"8,990,034,542",87.9,"127,297","66,880,166",66.8,"8,777,300,073",91.6,"66,862,163","6,763,900,006",94.2,"66,865,635","1,380,423,730",96.8,"1,399,875,978",96.8,20.7,15.9,"20,931"
"$30,000 or more","85,710,847",57.0,"9,515,174,779",93.0,"111,015","77,681,482",77.6,"9,155,278,335",95.6,"77,663,123","6,988,321,377",97.3,"77,666,842","1,406,105,541",98.6,"1,425,557,847",98.6,20.4,15.6,"18,351"
"$25,000 or more","94,599,158",63.0,"9,759,114,588",95.4,"103,163","83,139,809",83.1,"9,305,292,447",97.2,"83,120,364","7,067,674,397",98.4,"83,125,106","1,415,090,314",99.2,"1,434,542,634",99.2,20.3,15.4,"17,255"
"$20,000 or more","104,446,252",69.5,"9,980,122,210",97.6,"95,553","88,553,427",88.5,"9,427,100,579",98.4,"88,533,965","7,125,567,506",99.2,"88,538,724","1,421,213,258",99.6,"1,440,665,580",99.6,20.2,15.3,"16,269"
"$15,000 or more","115,356,361",76.8,"10,170,284,943",99.5,"88,164","93,739,417",93.7,"9,517,614,758",99.4,"93,719,771","7,161,903,176",99.7,"93,724,714","1,424,692,751",99.9,"1,444,145,073",99.9,20.2,15.2,"15,406"
"$10,000 or more","127,191,701",84.6,"10,318,126,016",100.9,"81,123","98,065,091",98.0,"9,573,017,422",99.9,"98,042,445","7,176,899,970",99.9,"98,050,388","1,426,087,881",100.0,"1,445,540,203",100.0,20.1,15.1,"14,741"
"$5,000 or more","138,190,824",92.0,"10,401,631,737",101.7,"75,270","99,880,227",99.8,"9,587,386,976",100.1,"99,857,451","7,180,256,515",100.0,"99,865,524","1,426,436,957",100.0,"1,445,889,279",100.0,20.1,15.1,"14,476"
$1 or more,"148,179,516",98.6,"10,427,444,334",102.0,"70,370","100,046,329",100.0,"9,587,918,960",100.1,"100,022,611","7,180,541,659",100.0,"100,031,626","1,426,465,419",100.0,"1,445,917,741",100.0,20.1,15.1,"14,452"
All returns,"150,272,157",100.0,"10,225,938,479",100.0,"68,049","100,052,490",100.0,"9,578,115,397",100.0,"100,022,611","7,180,541,659",100.0,"100,037,782","1,426,595,311",100.0,"1,446,047,984",100.0,20.1,15.1,"14,453"
   [1] Percentage not computed.,,,,,,,,,,,,,,,,,,,,
   [2] Less than 0.05 percent.,,,,,,,,,,,,,,,,,,,,
    NOTE: Detail may not add to totals because of rounding.,,,,,,,,,,,,,,,,,,,,
"    Source: IRS, Statistics of Income Division, Publication 1304, August 2018",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
