"Table 1.1  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income, Tax Year 2011",,,,,,,,,,,,,,,,,,,,
(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated),,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income",All returns,,,,,Taxable returns,,,,,,,,,,,,,,
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,Taxable income,,,Income tax after credits,,,Total income tax,,,,
,,,,,,,,,,"Number of
returns",Amount,"Percent of
total","Number of
returns",Amount,"Percent of
total",Amount,Percent of,,,"Average
total income 
tax (dollars)"
,,,Amount,"Percent
of total","Average
(dollars)",,,Amount,"Percent
of total",,,,,,,,Total,"Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
"$1 under $15,000","36,005,386",24.8,"283,237,995",3.4,"7,867","7,526,672",8.2,"81,636,314",1.1,"7,523,206","22,752,512",0.4,"7,526,672","2,181,111",0.2,"2,181,111",0.2,9.6,2.7,290
"$1 under $20,000","47,885,444",32.9,"490,208,135",5.9,"10,237","12,810,933",14.0,"174,011,358",2.3,"12,806,146","62,397,854",1.1,"12,810,933","6,059,337",0.6,"6,059,398",0.6,9.7,3.5,473
"$1 under $25,000","58,096,150",40.0,"719,389,588",8.6,"12,383","18,141,598",19.8,"293,877,135",3.8,"18,136,791","120,408,952",2.2,"18,141,598","12,376,963",1.2,"12,377,025",1.2,10.3,4.2,682
"$1 under $30,000","67,083,763",46.1,"965,856,908",11.5,"14,398","23,444,839",25.6,"439,557,714",5.7,"23,439,985","199,753,480",3.6,"23,443,732","21,293,329",2.0,"21,293,999",2.0,10.7,4.8,908
"$1 under $40,000","81,603,842",56.1,"1,470,925,931",17.6,"18,025","33,832,139",36.9,"802,967,345",10.4,"33,826,948","418,601,017",7.5,"33,831,032","46,024,676",4.4,"46,025,346",4.4,11.0,5.7,"1,360"
"$1 under $50,000","92,587,815",63.7,"1,962,640,062",23.4,"21,198","43,011,171",46.9,"1,214,975,338",15.8,"43,005,755","680,143,546",12.2,"43,010,064","76,580,427",7.3,"76,581,097",7.3,11.3,6.3,"1,780"
"$1 under $75,000","111,537,092",76.7,"3,128,451,671",37.4,"28,049","60,684,032",66.2,"2,305,609,098",30.0,"60,677,083","1,405,107,559",25.2,"60,682,926","169,903,428",16.3,"169,904,098",16.3,12.1,7.4,"2,800"
"$1 under $100,000","123,463,493",84.9,"4,160,062,858",49.7,"33,695","72,367,210",78.9,"3,316,708,895",43.1,"72,359,088","2,111,854,526",37.8,"72,366,103","265,922,424",25.4,"265,923,094",25.4,12.6,8.0,"3,675"
"$1 under $200,000","138,219,259",95.1,"6,137,469,065",73.3,"44,404","87,007,978",94.9,"5,279,713,084",68.6,"86,995,924","3,571,048,159",64.0,"87,006,871","514,890,043",49.2,"514,890,713",49.2,14.4,9.8,"5,918"
"$1 under $500,000","142,020,900",97.7,"7,218,400,857",86.2,"50,826","90,794,648",99.0,"6,356,315,737",82.6,"90,779,638","4,432,945,368",79.4,"90,793,541","727,293,299",69.6,"727,293,969",69.6,16.4,11.4,"8,010"
"$1 under $1,000,000","142,618,425",98.1,"7,621,986,295",91.0,"53,443","91,389,202",99.7,"6,757,871,105",87.8,"91,373,168","4,771,166,597",85.4,"91,388,096","824,904,067",78.9,"824,904,737",78.9,17.3,12.2,"9,026"
"$1 under $1,500,000","142,753,332",98.2,"7,785,081,927",93.0,"54,535","91,523,371",99.8,"6,920,070,181",90.0,"91,507,085","4,910,231,831",87.9,"91,522,264","865,362,975",82.8,"865,363,648",82.8,17.6,12.5,"9,455"
"$1 under $2,000,000","142,809,318",98.2,"7,881,365,450",94.1,"55,188","91,579,050",99.9,"7,015,827,363",91.2,"91,562,653","4,992,659,613",89.4,"91,577,942","889,467,711",85.1,"889,468,384",85.1,17.8,12.7,"9,713"
"$1 under $5,000,000","142,888,681",98.3,"8,117,441,062",96.9,"56,810","91,657,983",100.0,"7,250,653,298",94.2,"91,641,452","5,196,131,018",93.1,"91,656,876","948,242,464",90.7,"948,243,501",90.7,18.2,13.1,"10,345"
"$1 under $10,000,000","142,907,871",98.3,"8,248,204,625",98.5,"57,717","91,677,081",100.0,"7,380,781,699",95.9,"91,660,512","5,309,381,710",95.1,"91,675,974","979,742,526",93.7,"979,743,563",93.7,18.5,13.3,"10,687"
$1 or more,"142,919,316",98.3,"8,569,840,708",102.3,"59,963","91,688,471",100.0,"7,700,762,298",100.1,"91,671,874","5,583,802,495",100.0,"91,687,364","1,045,386,528",100.0,"1,045,387,565",100.0,18.7,13.6,"11,402"
All returns,"145,370,240",100.0,"8,374,142,977",100.0,"57,606","91,694,201",100.0,"7,693,198,033",100.0,"91,671,874","5,583,802,495",100.0,"91,693,088","1,045,509,234",100.0,"1,045,510,793",100.0,18.7,13.6,"11,402"
Accumulated from Largest Size of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
"$10,000,000 or more","11,445",[2],"321,636,083",3.8,"28,102,760","11,390",[2],"319,980,599",4.2,"11,362","274,420,785",4.9,"11,390","65,644,002",6.3,"65,644,002",6.3,23.9,20.5,"5,763,301"
"$5,000,000 or more","30,634",[2],"452,399,646",5.4,"14,767,893","30,488",[2],"450,109,000",5.9,"30,422","387,671,477",6.9,"30,488","97,144,064",9.3,"97,144,064",9.3,25.1,21.6,"3,186,305"
"$2,000,000 or more","109,998",0.1,"688,475,258",8.2,"6,258,980","109,422",0.1,"684,934,935",8.9,"109,221","591,142,882",10.6,"109,422","155,918,817",14.9,"155,919,181",14.9,26.4,22.8,"1,424,934"
"$1,500,000 or more","165,984",0.1,"784,758,781",9.4,"4,727,918","165,100",0.2,"780,692,117",10.1,"164,789","673,570,664",12.1,"165,100","180,023,553",17.2,"180,023,917",17.2,26.7,23.1,"1,090,393"
"$1,000,000 or more","300,891",0.2,"947,854,413",11.3,"3,150,159","299,269",0.3,"942,891,193",12.3,"298,706","812,635,898",14.6,"299,268","220,482,460",21.1,"220,482,827",21.1,27.1,23.4,"736,738"
"$500,000 or more","898,415",0.6,"1,351,439,851",16.1,"1,504,249","893,823",1.0,"1,344,446,561",17.5,"892,236","1,150,857,127",20.6,"893,822","318,093,229",30.4,"318,093,595",30.4,27.6,23.7,"355,880"
